0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.49,-0.9,0.92,-0.09,0.15,-0.42,-0.44,-0.25,0.21,0.38,0.03,-0.4,0.74,-0.39,0.25,0.83
-0.02,-0.61,0.07,0.17,-0.75,0.17,-0.36,-0.1,0.57,0.9,0.85,0.02,0.66,-0.25,0.31,-0.92
-0.95,-0.17,-0.08,0.82,-0.96,-0.96,-0.37,0.7,0.28,0.4,0.63,0.66,-0.47,-0.6,0.58,-0.54
-0.8,-0.91,0.04,-0.58,-0.4,0.68,-0.37,0.1,-0.25,0.75,0.22,-0.04,0.89,-0.2,0.39,0.77
0.24,-0.45,0.46,-0.86,0.88,-0.47,-0.26,0.65,-0.61,0.1,-0.75,-0.85,0.53,-0.7,0.58,0.86
0.48,-0.58,0.69,0.88,-0.25,0.04,0.44,-0.82,0.28,0.05,-0.55,0.68,-0.18,0.98,0.04,-0.69
0.06,-0.35,-0.14,-0.13,0.46,-0.65,-0.39,-0.46,-0.6,0.02,-0.36,0.55,-0.61,0.43,-0.39,-0.92
0.56,0.44,-0.91,-0.61,-0.89,-0.61,-0.45,-0.92,-0.54,0.65,0.12,-0.12,-0.97,0.9,-0.41,-0.72
0.39,-0.67,0.62,-0.29,0.91,-0.6,0.24,0.2,0.13,-0.63,-0.81,0.4,0.94,-0.39,-0.66,-0.22
0.58,-0.04,-0.92,0.75,-0.5,0.58,0.59,0.89,0.29,-0.36,-0.22,0.03,0.4,0.26,0.93,-0.36
0.19,-0.83,-0.03,0.51,0.93,-0.19,-0.46,0.25,0.53,0.03,0.98,-0.32,0.98,0.97,-0.68,0.76
-0.92,0.2,0.45,0.08,0.79,0.87,0.78,0.68,0.36,-0.28,-0.28,0.77,-0.57,-0.28,0.57,-0.85
-0.38,0.56,0.05,-0.63,0.65,-0.31,-0.19,0.18,0.82,0.81,-0.94,-0.52,0.28,0.41,0.05,0.48
0.15,0.21,-0.94,0.05,0.73,0.76,-0.67,-0.8,-0.5,-0.16,0.9,0.11,-0.86,-0.29,0.58,0.85
0.1,0.83,0.17,-0.8,-0.65,0.78,0.3,0.02,0.99,0.51,-0.6,-0.95,-0.44,-0.94,0.98,-0.07
0.79,0.82,0.62,-0.03,-0.02,0.43,-0.59,0.44,0.01,0.66,-0.19,-0.54,-0.46,-0.67,0.51,-0.39
0.83,0.59,0.05,-0.21,0.22,0.03,-0.73,0.62,-0.53,0.7,-0.27,-0.64,-0.93,-0.68,0.18,-0.06
0.91,-0.23,-0.09,0.54,0.93,0.15,0.9,0.07,-0.17,-0.69,-0.65,0.3,0.24,-0.23,0.17,0.63
-0.73,-0.66,-0.26,0.68,-0.21,-0.07,-0.98,-0.32,-0.32,-0.42,-0.01,0.67,-0.96,0.51,-0.12,-0.93
-0.22,-0.27,0.55,1.0,-0.6,0.23,-0.92,-0.84,-0.52,0.85,0.72,0.14,0.46,-0.81,-0.84,0.12
0.45,0.18,-0.84,0.64,0.96,-0.77,-0.44,0.18,0.54,0.41,-0.85,0.43,-0.56,0.51,-0.23,-0.51
0.42,0.39,0.44,0.75,0.98,0.28,0.13,-0.56,0.69,-0.95,0.05,0.45,-0.63,0.68,-0.89,-0.18
0.06,-0.42,-0.22,-0.04,0.37,-0.83,-0.95,-0.13,-0.59,0.07,0.43,0.07,0.63,0.15,-0.18,-0.28
-0.04,-0.21,0.3,0.62,0.02,0.32,0.16,0.73,-0.03,-0.27,-0.68,-0.03,0.25,0.74,0.79,0.17
-0.47,-0.22,0.98,0.57,-0.86,0.59,0.18,-0.63,-0.4,-0.42,-0.38,0.7,-0.77,0.46,0.69,0.99
-0.11,0.26,-0.99,0.39,-0.99,0.26,0.68,-0.12,-0.45,-0.81,-0.41,-0.52,0.6,0.66,0.69,-0.0
-0.24,-0.04,-0.93,0.61,0.25,0.53,-0.61,0.43,-0.94,-0.29,0.71,-0.34,-0.75,-0.67,0.51,-0.65
-0.66,0.05,-0.07,0.39,0.98,-0.18,0.9,0.96,0.05,0.39,0.4,-0.3,-0.19,-0.51,-0.23,0.12
0.89,-0.54,-0.63,0.74,-0.74,0.32,0.93,-0.45,0.3,0.06,0.04,0.15,0.92,0.53,0.98,-0.83
-0.82,-0.8,-0.29,0.09,-0.9,0.66,0.41,-0.25,0.86,0.79,-0.54,0.87,-0.1,-0.72,0.97,-0.1
-0.24,-0.26,-0.88,0.78,-0.08,-0.3,0.17,0.7,-0.3,0.71,-0.42,0.43,-0.39,0.2,-0.51,-0.66
-0.15,-0.08,-0.65,-0.32,0.86,-0.45,-0.77,0.58,-0.58,-0.55,-0.8,-0.36,0.48,0.94,-0.83,-0.68
