text,label,processed
 <USERNAME> TOLOL!! Gak ada hubungan nya keguguran dgn pake hijab syar'i yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy!! Otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar!,negative,"['username', 'tolol', 'enggak', 'hubungan', 'keguguran', 'pakai', 'hijab', 'syari', 'lo', 'bilang-bilang', 'bayi', 'kepanasan', 'didalem', 'enggak', 'hubungan', 'woyyyy', 'otak', 'jempol', 'lo', 'enggak', 'singkron', 'menulis', 'komentar']"
Geblek lo tata...cowo bgt dibela2in balikan...hadeww...ntar ditinggal lg nyalahin tuh cowo...padahal kitenya yg oon.,negative,"['geblek', 'lo', 'tatacowo', 'banget', 'dibelain', 'balikanhadewwntar', 'ditinggal', 'menyalahkan', 'cowopadahal', 'kitenya', 'oon']"
Kmrn termewek2 skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas,negative,"['kemarin', 'termewek', 'lengket', 'duh', 'labil', 'banget', 'mbak-mbak', 'kaya', 'abege', 'kemarin', 'cari', 'sensasi', 'top', 'markotoppp', 'ertong', 'enggak', 'berkualitas']"
"Intinya kalau kesel dengan ATT nya, gausah ke anaknya juga. Kasian buat perkembangan psikis anak kedepannya. Itu orang bener bener tolol, skrg seandainya dia punya anak, terus anaknya dikatain sama orang yang benci sama dia, gimana perasaan dia ? Benci sama seseorang boleh, tapi harus tau batesnya ?? toh namanya manusia, gaakan semua jadi penyuka, pasti ada haters ??",negative,"['intinya', 'kesel', 'att', 'enggak usah', 'anaknya', 'kasihan', 'perkembangan', 'psikis', 'anak-anak', 'kedepannya', 'orang-orang', 'tolol', 'seandainya', 'anak-anak', 'anaknya', 'dikatai', 'orang-orang', 'benci', 'perasaan', 'benci', 'batesnya', 'namanya', 'manusia', 'gaakan', 'penyuka', 'haters']"
"hadewwwww permpuan itu lg!!!!sakit jiwa,knp harus dia yg jd peran utama di film hantu jeruk purut,ky khabisan stok Artis ja",negative,"['hadewwwww', 'permpuan', 'lgsakit', 'jiwaknp', 'peran', 'utama', 'film', 'hantu', 'jeruk', 'purutky', 'khabisan', 'stok', 'artis-artis']"
"Pantesan di tinggalin laki, ya lakinya juga mikir kali kalau perempuannya kayagni. Ngurus diri aja dia gak becus gimana ngurus anak, mending anak sama bapake nya aja bener didiknya",negative,"['pantesan', 'tinggalkan', 'laki-laki', 'lakinya', 'mikir', 'kali', 'perempuannya', 'kayagni', 'mengurus', 'enggak', 'becus', 'mengurus', 'anak-anak', 'mending', 'anak-anak', 'bapake', 'didiknya']"
"kebiasaan balajaer nyampah d ig para artis..suka2 yg punya ig lah mau bikin caption apa,kok balajaer yg heboh dan asik ceramahin yg punya ig.tar lama2 d bikinin lagu sm teh melly loh balajaer yg berjudul""ketika balajaer bersabda""demi seonggak koin laknat nya.balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi.duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa.minus segala2nya!lagi masih d bela mati2an,pd sakit jiwa",negative,"['kebiasaan', 'balajaer', 'menyampah', 'ig', 'artissuka', 'ig', 'caption', 'apakok', 'balajaer', 'heboh', 'asik', 'ceramahin', 'igtar', 'lagu', 'teh', 'melly', 'balajaer', 'berjudulketika', 'balajaer', 'bersabdademi', 'seonggak', 'koin', 'laknat', 'nyabalajaer', 'ngamuk', 'mengiyakan', 'banget', 'koin', 'laknat', 'penggoda', 'gigiduh', 'elah', 'balajaer', 'kali', 'kelakuan', 'biduan', 'lo', 'kayak', 'apaminus', 'segalanyalagi', 'bela', 'matianpd', 'sakit', 'jiwa']"
krn sebagian besar rakyat indonesia itu bodoh. Tdk bisa membedakan mana yg baik mana yg buruk. Sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan. Lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika,negative,"['besar-besar', 'rakyat', 'indonesia', 'bodoh', 'tidak', 'membedakan', 'buruk', 'prilaku', 'buruk', 'tidak', 'sopan', 'santun', 'dipilih', 'panutan', 'mengidolakan', 'murahan', 'berkelas', 'ber', 'etika']"
ayu janda bego pny suami kpn nikah laginya?,negative,"['ayu', 'janda', 'bego', 'suami', 'nikah', 'laginya']"
"Anyiennnnggg.. Suaranya ancur banget, lebih merdu tukang gorengan",negative,"['anyiennnnggg', 'suaranya', 'hancur', 'banget', 'merdu', 'tukang', 'gorengan']"
"Syarat sah nikah menurut agama islam hanya 5 yaitu : adanya CPP, adanya CPW, saksi, wali nikah dan mas kawin/mahar. Perkara makeup gak manglingi bukan syarat sah pernikahan. Sekalipun gak makeup tapi syarat yg 5 tersebut terpenuhi maka pernikahannya SAH yak emak emak julids",negative,"['syarat', 'sah', 'nikah', 'agama', 'islam', 'cpp', 'cpw', 'saksi', 'wali', 'nikah', 'mas', 'kawinmahar', 'perkara', 'makeup', 'enggak', 'manglingi', 'bukan', 'syarat', 'sah', 'pernikahan', 'enggak', 'makeup', 'syarat', 'terpenuhi', 'pernikahannya', 'sah', 'emak', 'emak', 'julids']"
"Cewek gatau diri nih, ngerebut pacar org. Udh mana punya abang yg ngedukung sifat jeleknya lg. Ckck",negative,"['cewek', 'enggak tau', 'merebut', 'pacar', 'orang', 'abang', 'mendukung', 'sifat', 'jeleknya', 'ckck']"
 <USERNAME> eh... Situ siapa??? Kids jaman now ya kebanyakan micin.. Mna kata aku yg ngina??? Bego dipelihara??????,negative,"['username', 'eh', 'situ', 'kids', 'jaman', 'now', 'kebanyakan', 'micin', 'kata-kata', 'ngina', 'bego', 'dipelihara']"
Jijik liatnya suer deh minceeee,negative,"['jijik', 'lihatnya', 'suer', 'deh', 'minceeee']"
"Emang bukan hal tabu ciuman gitu (iya emang) tapi yg bikin eneg itu ""PENCITRAAN"" nya yg sok alim sok baik sok bijak dan sok sok yg lainya. Seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan. Bukan sok alim atau sok suci serius!",negative,"['bukan', 'tabu', 'ciuman', 'iya', 'eneg', 'pencitraan', 'sok', 'alim', 'sok', 'sok', 'bijak', 'sok', 'sok', 'lainya', 'seandainya', 'apa-apa', 'pencitraan', 'bukan', 'sok', 'alim', 'sok', 'suci', 'serius']"
"Yg jd masalah disini adalah 1. mereka ciuman dpn org bnyk yg SEHARUSNYA sih punya rasa MALU, kecuali mgkn lg mabok jd gak ada rasa malu. 2. Mereka berteman?? Helooow sebuah pertemanan tdk akan melibatkan ciuman BIBIR, coba aja kalian bayangin, sanggup gak ciuman bibir ma TEMAN? pasti lbh dr teman lah itu. Dasar Kelakuan Kids jaman now yg emg bego, bukan krn kebanyakan micin lho yah ??",negative,"['ciuman', 'orang', 'malu', 'kecuali', 'mabok', 'enggak', 'malu', 'berteman', 'helooow', 'pertemanan', 'tidak', 'melibatkan', 'ciuman', 'bibir', 'coba', 'bayangkan', 'sanggup', 'enggak', 'ciuman', 'bibir', 'teman', 'teman', 'dasar', 'kelakuan', 'kids', 'jaman', 'now', 'bego', 'bukan', 'kebanyakan', 'micin', 'lho']"
Anjing nya ngamuk..hidup kok dmana2 pny musuh..udh kliatan mna yg baik dan bukan..org baik ga pny byk musuh..,negative,"['anjing', 'ngamukhidup', 'dimana', 'musuhudh', 'bukanorg', 'enggak', 'musuh']"
" <USERNAME> ahhh katanya jaga ucapan, lahh ucapan dia ngk dijaga sendiri.. dasar munafik.. dasar betina zaman now ellu kali yangg kelebihan micin.. loe sendiri otak loe kan di selangkangan mana paham.. semoga Tuhan ampunin kemunafikan loe cun",negative,"['username', 'ah', 'jaga', 'ucapan', 'ucapan', 'enggak', 'dijaga', 'dasar', 'munafik', 'dasar', 'betina', 'zaman', 'now', 'ellu', 'kali', 'yangg', 'kelebihan', 'micin', 'lo', 'otak', 'lo', 'selangkangan', 'paham', 'semoga', 'tuhan', 'ampunin', 'kemunafikan', 'lo', 'cun']"
" <USERNAME> yaa ampun ini upil naruto,, kata2nya makin mencerminkan klo dia yg sebenarnya pecun.????pengalaman banget lu yaa. Kesian. Gua jadi prihatin. Mati aj deh lu. Ngotorin dunia manusia macam kau.??",negative,"['username', 'ampun', 'upil', 'naruto', 'mencerminkan', 'pecunpengalaman', 'banget', 'lu', 'kesian', 'gua', 'prihatin', 'mati', 'deh', 'lu', 'ngotorin', 'dunia', 'manusia', 'kau']"
"Cuman jual goyangan yak, suara macam taik...",negative,"['cuman', 'jual', 'goyangan', 'suara', 'tahi']"
Kasian ih nyari uang sampe segitunya,negative,"['kasihan', 'ih', 'mencari', 'uang', 'sebegitunya']"
anjir tontonan yg sangat tidak bermutu!,negative,"['anjir', 'tontonan', 'tidak', 'bermutu']"
