text,label,processed
semoga untuk pengiriman paket by gosend ada sisitem pembayaran produk cod jd tidak hanyak ongkir nya saja yg bisa dibayarkan ke penerima,positive,"['semoga', 'pengiriman', 'paket', 'by', 'gosend', 'sisitem', 'pembayaran', 'produk', 'cod', 'tidak', 'hanyak', 'ongkir', 'dibayarkan', 'penerima']"
sangat membantu dalam aktifitas sehari hari,positive,"['membantu', 'aktifitas', 'sehari']"
sangat membantu promo promonya sayang promo gomartnya sekarang jadi berkurang gak kayak dulu,positive,"['membantu', 'promo', 'promonya', 'sayang', 'promo', 'gomartnya', 'berkurang', 'enggak', 'kayak']"
pesen gofood skrg jadi lama harus tunggu dapat driver terlalu lama padahal banyak driver sekitar area resto,positive,"['pesan', 'gofood', 'tunggu', 'driver', 'driver', 'area', 'resto']"
di map posisi nya deket aslinya msh jauh makanya aku kasih bintang,positive,"['map', 'posisi', 'aslinya', 'kasih', 'bintang']"
saya turunin lagi bintangnyakenapa paylaternya saya di blokirtoh selama ini di bayar terus kokmasa cuma beberapa hari gak menggunakan transaksi gopay langsung di blokir,positive,"['turunin', 'bintangnyakenapa', 'paylaternya', 'blokirtoh', 'bayar', 'kokmasa', 'enggak', 'transaksi', 'gopay', 'langsung', 'blokir']"
paylater dilock jadi pada males belanja tokped padahal promo di paylatergo food juga,positive,"['paylater', 'dilock', 'malas', 'belanja', 'tokped', 'promo', 'paylatergo', 'food']"
masukan buat gojek yaitu sangat mendukung jika driver gojek kasih bintang kecil resto sama dengan menghapus riwayat dengan resto bersangkutan alasan agar meningkatkan kesungguh an dalam pekerjaan baik driver maupun resto cukup adil bagi driver kehilangan riwayat dengan resto sebaliknya cukup adil juga bagi resto kekurangan driver begitu juga sebaliknya riwayat driver akan kuat dengan resto jika driver beri buat resto terima kasih salam gojek semoga makin sukses,positive,"['masukan', 'gojek', 'mendukung', 'driver', 'gojek', 'kasih', 'bintang', 'kecil-kecil', 'resto', 'menghapus', 'riwayat', 'resto', 'bersangkutan', 'alasan', 'meningkatkan', 'kesungguh', 'an', 'pekerjaan', 'driver', 'resto', 'adil', 'driver', 'kehilangan', 'riwayat', 'resto', 'adil', 'resto', 'kekurangan', 'driver', 'riwayat', 'driver', 'kuat', 'resto', 'driver', 'resto', 'terima', 'kasih', 'salam', 'gojek', 'semoga', 'sukses']"
layanan yang sangat bisa diandalkan banyak promonya juga terutama pesan antar makanan,positive,"['layanan', 'diandalkan', 'promonya', 'pesan', 'makanan']"
kemaren masih bisa sekarang ga bisa lagi tolong di bantu ini kenapa biasa nys saya beli di shopee pake gosend instan bisa lacak driver nya udah sampe mana tapi sekarang ga bisa tolong di bantu,positive,"['kemarin', 'enggak', 'tolong', 'bantu', 'nys', 'beli', 'shopee', 'pakai', 'gosend', 'instan', 'lacak', 'driver', 'enggak', 'tolong', 'bantu']"
pelayanan dan promo terbaik tidak pernah mengecewakan,positive,"['pelayanan', 'promo', 'terbaik', 'tidak', 'mengecewakan']"
bingung mau ngomong apa bagus semua soalnya,positive,"['bingung', 'mengomong', 'apa-apa', 'bagus']"
masukan ya min saya suka belanja di berapa toko butuh fitur gosend yang bisa ngambil barang di beberapa titik toko dan di antar semua barang itu si satu alamat thankyou,positive,"['masukan', 'min', 'suka', 'belanja', 'toko', 'butuh', 'fitur', 'gosend', 'ngambil', 'barang', 'titik', 'toko', 'barang', 'alamat', 'thankyou']"
semakin mendukung kemageranku keluar kost buat beli makan karena promo gofood ga kira banyak bangettttttt,positive,"['mendukung', 'kemageranku', 'kost', 'beli', 'makan', 'promo', 'gofood', 'enggak', 'banget']"
selama pake gojekblm pernah kecewasmg selalu lebih baik lagiaplikasinya sama para driver nya,positive,"['pakai', 'gojekblm', 'kecewasmg', 'lagiaplikasinya', 'driver']"
selama saya menggunakan aplikasi ini terkendala dengan koneksi yang diharuskan mengunakan wifi tolong sama devnya agar segala fiturnya bisa koneksi dengan jaringan apapun yang penting ada koneksi internet baik wifi atau paket data agar memudahkan pengguna,positive,"['aplikasi', 'terkendala', 'koneksi', 'diharuskan', 'mengunakan', 'wifi', 'tolong', 'devnya', 'fiturnya', 'koneksi', 'jaringan', 'apapun', 'koneksi', 'internet', 'wifi', 'paket', 'data', 'memudahkan', 'pengguna']"
masalah saya itu transaksi saya dinyatakan gagal tapi saldo saya berkurang sesuai dengan jumlah transaksi dan itu tidak terbaca di riwayat solusinya apa pengembalian dana atau trackingnya gimana kasih kejelasan,positive,"['transaksi', 'dinyatakan', 'gagal', 'saldo', 'berkurang', 'sesuai', 'transaksi', 'tidak', 'terbaca', 'riwayat', 'solusinya', 'apa-apa', 'pengembalian', 'dana', 'trackingnya', 'kasih', 'kejelasan']"
sangat berguna dan membantu,positive,"['berguna', 'membantu']"
di tingkatkan lg kwalitas nya,positive,"['tingkatkan', 'kwalitas']"
november baru pake lagi gojek aplikasi ok driver banyak tarif ok penggunan baru banyak promo makasih gojek dan tim,positive,"['november', 'pakai', 'gojek', 'aplikasi', 'ok', 'driver', 'tarif', 'ok', 'penggunan', 'promo', 'terima kasih', 'gojek', 'tim']"
sangat membantu dalam pesan antar,positive,"['membantu', 'pesan']"
orderan sy dpt lawan arah koq bisaya sy buat pilihan orderan satu arah lingkar selatan arah pulang karna udah mlm terus msk orderan ke lawan arah mandalo darat yah dgn hati kesel sy jalani jg das udah selesai orderan yg ini ttp sy lanjutkan order satu arah lingkar selatan   ini msk tp ke arah kenali besar jg lawan arah yg sy inginkan karna kesel abis orderan sy tdk jln kan pertanyaan sy kenapa pertanyaan sy tdk   jawah koq malah nanya,positive,"['orderan', 'lawan', 'arah', 'bisaya', 'pilihan', 'orderan', 'arah', 'lingkar', 'selatan', 'arah', 'pulang', 'malam', 'masuk', 'orderan', 'lawan', 'arah', 'mandalo', 'darat', 'hati-hati', 'kesel', 'jalani', 'das', 'selesai', 'orderan', 'lanjutkan', 'order', 'arah', 'lingkar', 'selatan', 'masuk', 'arah', 'kenali', 'besar-besar', 'lawan', 'arah', 'kesel', 'habis', 'orderan', 'tidak', 'jalan', 'tidak', 'jawah']"
sekrang nyaman karena respon dan drivernya dengan baik,positive,"['nyaman', 'respon', 'drivernya']"
sekarang kalau mau nge gofood nggak asik jaraknya jauhjauh padahal pilih terdekat,positive,"['nge', 'gofood', 'enggak', 'asik', 'jaraknya', 'jauhjauh', 'pilih', 'terdekat']"
sangat membantu untuk perjalanan aktivitas kerja,positive,"['membantu', 'perjalanan', 'aktivitas', 'kerja']"
akurat dan membantu dalam keseharian pada transportasi dan terjamin aman,positive,"['akurat', 'membantu', 'keseharian', 'transportasi', 'terjamin', 'aman']"
mantap cepat akurat,positive,"['mantap', 'cepat', 'akurat']"
tombol buat pencet tombol metode pembayarannya terlalu kecil,positive,"['tombol', 'pencet', 'tombol', 'metode', 'pembayarannya', 'kecil-kecil']"
perjalanan jadi nyaman menggunakan gojek aman dan bagus,positive,"['perjalanan', 'nyaman', 'gojek', 'aman', 'bagus']"
pelayanannya cukup memuaskan ramah dan nyaman,positive,"['pelayanannya', 'memuaskan', 'ramah', 'nyaman']"
kenapa gopay later saya tidak bisa di gunakan kembali padahal saya sudah bayar tagihan dan limitnya masih ada mana disana di tuliskan ops ada sedikit ganggu masa mulai tgl sampai sekarang tgl masih gangguan terus tolong di perbaiki sistem nya mana kalau telat bayar kena denda rb giliran mau pakai gopay later malah gak bisa sama sekali,positive,"['gopay', 'later', 'tidak', 'bayar', 'tagihan', 'limitnya', 'disana', 'tuliskan', 'ops', 'ganggu', 'tanggal', 'tanggal', 'gangguan', 'tolong', 'perbaiki', 'sistem', 'telat', 'bayar', 'kena', 'denda', 'ribu', 'giliran', 'pakai', 'gopay', 'later', 'enggak']"
udah bagus kalo bisa banyakin promo,positive,"['bagus', 'membanyaki', 'promo']"
aplikasinya bagis kalian wajib cobain deh pasti ga bakalan nyesel,positive,"['aplikasinya', 'bagis', 'wajib', 'coba', 'deh', 'enggak', 'menyesal']"
sangat bermanfaat sayangnya ketika saya hendak membayar tagihan gopaylaternya karena hape saya hilang akhirnya tidak bisa   bayarkan mohon kiranya pihak gopay later menidaklanjuti,positive,"['bermanfaat', 'sayangnya', 'membayar', 'tagihan', 'gopaylaternya', 'hape', 'hilang', 'tidak', 'bayarkan', 'mohon', 'gopay', 'later', 'menidaklanjuti']"
cukup baguspertahankan kualitas pengantar para drivernya,positive,"['baguspertahankan', 'kualitas', 'pengantar', 'drivernya']"
udah   update berkali loh ttep ga bisa isi saldo   temenkecewa,positive,"['update', 'berkali', 'enggak', 'isi', 'saldo', 'temenkecewa']"
mempermudah di saat mager,positive,"['mempermudah', 'mager']"
kadang ada driver yang nyebelin ngeselin waktu itu aja ada driver yang minta uang gak sesuai sama aplikasi smga aja mitra yang seperti itu bisa di tindak tegas terima kasih,positive,"['kadang', 'driver', 'menyebalkan', 'mengesalkan', 'driver', 'uang', 'enggak', 'sesuai', 'aplikasi', 'semoga', 'mitra', 'tindak', 'terima', 'kasih']"
nie aplikasi yang sangat membantu ketika mau bepergian mudah dapet driver dan cepet,positive,"['aplikasi', 'membantu', 'bepergian', 'mudah', 'driver', 'cepat']"
