text,label,processed
saran sih bikin   harga ionic sama kayak brio insya alloh laris manis,positive,"['saran', 'harga', 'ionic', 'kayak', 'brio', 'insya', 'allah', 'laris', 'manis']"
problem subsidi kualitas diturunin harga dinaikin usaha gitu cari cuan subsidi sebab inflasi paling gede,negative,"['problem', 'subsidi', 'kualitas', 'diturunin', 'harga', 'dinaikin', 'usaha', 'cari', 'cuan', 'subsidi', 'inflasi', 'gede']"
baik kualitas kembang dulu baik kualitas motor motor pabrikan jepang,positive,"['kualitas', 'kembang', 'kualitas', 'motor', 'motor', 'pabrikan', 'jepang']"
model jelek kwalitas buruk harga mahal croot,negative,"['model', 'jelek', 'kwalitas', 'buruk', 'harga', 'mahal', 'croot']"
syarat   ngaco woy anak muda   blom punya rumah blom jd umkm bukan serta kur   dapet ngaco sia deui sia deui nu narima subsidi teh ari aing iraha,negative,"['syarat', 'mengaco', 'woy', 'anak-anak', 'muda', 'belum', 'rumah', 'belum', 'umkm', 'bukan', 'kur', 'mengaco', 'sia', 'deui', 'sia', 'deui', 'nu', 'narima', 'subsidi', 'teh', 'ari', 'aing', 'iraha']"
harga motor mahal masa harga mirip motor beat kualitas bagai langit bumi,positive,"['harga', 'motor', 'mahal', 'harga', 'motor', 'beat', 'kualitas', 'langit', 'bumi']"
mol keren yah   berita   plus padahal mol lokal merk   batrenya juta garansi tahun anggap batre awet tahun   rakyat indonesia per tahun sekali keluar juta buat beli batre baru   o   saran uang subsidi keluar buat batre perintah   punya wewenang pertamina   kelola contoh gas kg gas kg gas kg produk baru misal batre v batre v batre v cabut bayar pasang gas pnp pom sistem swap batre banyak titik swap point indonesia luas,negative,"['mol', 'keren-keren', 'berita', 'plus', 'mol', 'lokal', 'merk', 'batrenya', 'juta', 'garansi', 'tahun-tahun', 'anggap', 'batre', 'awet', 'tahun-tahun', 'rakyat', 'indonesia', 'tahun-tahun', 'juta', 'beli', 'batre', 'saran', 'uang', 'subsidi', 'batre', 'perintah', 'wewenang', 'pertamina', 'kelola', 'contoh', 'gas', 'kg', 'gas', 'kg', 'gas', 'kg', 'produk', 'batre', 'batre', 'batre', 'cabut', 'bayar', 'pasang', 'gas', 'pnp', 'pom', 'sistem', 'swap', 'batre', 'titik', 'swap', 'point', 'indonesia', 'luas']"
proses kenal produk baru butuh waktu ganti kendara bbm jadi kendara butuh waktu tehnologi baru sabar,negative,"['proses', 'kenal', 'produk', 'butuh', 'ganti', 'kendara', 'bbm', 'kendara', 'butuh', 'tehnologi', 'sabar']"
subsidi   tepat sasar,positive,"['subsidi', 'sasar']"
adil rata terima subsidi jangan jangan pajak pph msh subsidi perintah khianat pancasila sila lima adil seluruh rakyat indonesia   mmg   mau rata bagus   usa subsidi sama sekali untung subsidi rata umum alih kendara bbm  lebih  cepat efek apa kurang konsumsi subsidi bbm kurang polusi tingkat minat pihak swasta dl   ikut partisipasi investasi ekosistem motor,negative,"['adil', 'terima', 'subsidi', 'jangan-jangan', 'jangan-jangan', 'pajak', 'pph', 'subsidi', 'perintah', 'khianat', 'pancasila', 'sila', 'adil', 'rakyat', 'indonesia', 'bagus', 'subsidi', 'untung', 'subsidi', 'alih', 'kendara', 'bbm', 'cepat', 'efek', 'apa-apa', 'konsumsi', 'subsidi', 'bbm', 'polusi', 'tingkat', 'minat', 'swasta', 'partisipasi', 'investasi', 'ekosistem', 'motor']"
  tepat sasar donk syarat belum tepat subsidi kurang besar jd warga kurang mampu pikir beli anda subsidi jt mungkin warga kurang mampu lebih berani beli,negative,"['sasar', 'syarat', 'belum', 'subsidi', 'besar-besar', 'warga', 'pikir-pikir', 'beli', 'subsidi', 'juta', 'warga', 'berani', 'beli']"
mungkin subsidi baik arah   seragam sekolah bila lama guna seragam sekolah hapus negara ri   mungkin subsidi   seragam sekolah minimal rasa marah jengkel kpd saudara   bangsa n tanah air   terus terus rusak bangsa n negara ri dg laku korupsi macam terus terus ma af jk salah,negative,"['subsidi', 'arah', 'seragam', 'sekolah', 'seragam', 'sekolah', 'hapus', 'negara', 'ri', 'subsidi', 'seragam', 'sekolah', 'minimal', 'marah', 'jengkel', 'saudara', 'bangsa', 'tanah', 'air', 'rusak', 'bangsa', 'negara', 'ri', 'laku-laku', 'korupsi', 'af', 'salah']"
kampung   sekarang banyak banget bocil sama cewek   pake motor,positive,"['kampung', 'banget', 'bocil', 'cewek', 'pakai', 'motor']"
banyak kenderaan buat tiongkok rekam bakar letup amerika rana masalah baterai kenderaan   bahaya,negative,"['kenderaan', 'tiongkok', 'rekam', 'bakar', 'letup', 'amerika', 'ranah', 'baterai', 'kenderaan', 'bahaya']"
harga terlalu mahal,positive,"['harga', 'mahal']"
tahan th  ,negative,['tahan']
iklan kudu kencang,positive,"['iklan', 'kudu', 'kencang']"
kendaran plg rawan bakar   mudah padam,negative,"['kendaran', 'pulang', 'rawan', 'bakar', 'mudah', 'padam']"
