text,label,processed
Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,negative,"['akun', 'kloning', 'pendukung', 'menyerang', 'paslon', 'opini', 'argumen', 'pmbenaranjangan', 'terkecoh']"
#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,negative,"['bicara', 'apa-apa', 'kasihan', 'yaalap', 'air', 'matanya', 'wkwkwkwk']"
Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,negative,"['enggak', 'menunggu', 'hasil', 'qc', 'menunggu', 'motif', 'cuitan', 'kayak', 'apa-apa', 'pasca', 'nyungsep']"
Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,negative,"['kasihan', 'oh', 'kasihan', 'peluru', 'milyar', 'rw', 'tidak', 'mempan', 'menangin', 'pilkada']"
Maaf ya pendukung #AgusSilvy..hayo dukung #AniesSandi diputaran 2 @ronavioleta @NetizenTofa,negative,"['maaf', 'pendukung', 'hayo', 'dukung', 'diputaran']"
"aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub, anda lebay seperti yg anda dukung #agussilvy",negative,"['aneh', 'deh', 'lebay', 'sangkut', 'pautkan', 'kandidat', 'calgub', 'lebay', 'dukung']"
Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,negative,"['allah', 'swt', 'ucapkan', 'syukur', 'terimakasih', 'makna', 'suara']"
Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini,negative,"['terima', 'kasih', 'teruntuk', 'pendukung', 'kalianlah', 'pembeda', 'kali']"
Trima Kasih atas KeIstiqomahan Relawan #AHY @AgusYudhoyono lah yg tlh mengantarkan #AniesSandiDKI1 #JakartaGubernurBaru dg cukup signifikan,negative,"['terima', 'kasih', 'keistiqomahan', 'relawan', 'tlh', 'mengantarkan', 'signifikan']"
Mengenang pidato kekalahan #ahy,negative,"['mengenang', 'pidato', 'kekalahan']"
"dammnn,!! politik cantik #SBY ngorbanin #AHY",negative,"['dammnn', 'politik', 'cantik', 'mengorbankan']"
"Batal nyoblos, baru tau ternyata ga ada no.1 di kertas suara. #AHY #kangen #mosing	",negative,"['batal', 'nyoblos', 'enggak', 'no', 'kertas', 'suara']"
sudah boleh Ngakak? survey mu jauh panggang dari api ! #Ahy,negative,"['mengakak', 'survey', 'mu', 'panggang', 'api']"
aku juga kemarin #AHY 19april2017 suaraku utk paslon 3 #DKI,negative,"['kemarin', 'april', 'suaraku', 'paslon']"
Karna yang belebihan itu tidak baik ya bah #AHY,negative,"['belebihan', 'tidak', 'bah']"
"om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",negative,"['om', 'aa', 'kemana', 'lepas', 'kalah', 'tutup', 'mulut', 'tidak', 'koar', 'bongkar', 'surabaya']"
