text,label,processed
"Undang @N_ShaniJKT48 ke hitamputih, pemenang SSK JKT48 harusnya mJKT48 ini lebih Layak di Undang karena prestasinya",positive,"['undang', 'shanijkt', 'hitamputih', 'pemenang', 'ssk', 'jakarta', 'mjkt', 'layak', 'undang', 'prestasinya']"
Selamat berbuka puasa Semoga amal ibadah hari ni diterima Allah #hitamputih,positive,"['selamat', 'berbuka', 'puasa', 'semoga', 'amal', 'ibadah', 'diterima', 'allah']"
"Ada nih di trans7 hitam putih, dia dpt penghargaan juga di norwegia #hitamputih",positive,"['trans', 'hitam', 'putih', 'penghargaan', 'norwegia']"
selamat ya mas @adietaufan masuk hitamputih,positive,"['selamat', 'mas', 'masuk', 'hitamputih']"
Asiknya nonton Hitam Putih Trans7,positive,"['asiknya', 'menonton', 'hitam', 'putih', 'trans']"
@TRANS7 acara paling komplit dan menarik apalagi ada hitam putih,positive,"['acara', 'komplit', 'menarik', 'hitam', 'putih']"
hitam putih T7 inspiratif banget,positive,"['hitam', 'putih', 'inspiratif', 'banget']"
Suka banget dengan acara hitam putih,positive,"['suka', 'banget', 'acara', 'hitam', 'putih']"
Keren lu bro #HitamPutihTrans7,positive,"['keren-keren', 'lu', 'bro']"
"Tadi ada yg liat hitam putih di trans7 ga, Ada sanggu ganteng",positive,"['lihat', 'hitam', 'putih', 'trans', 'enggak', 'sanggu', 'ganteng']"
cinta mengikat silaturahmi di hati ... #LunaMaya #hitamputihtrans7 .... https://www.instagram.com/p/BTqszJ3jO9A/,positive,"['cinta', 'mengikat', 'silaturahmi', 'hati-hati']"
Terima kasih pak.... Sudah mau membantu kami untuk menyekolahkan adik saya.... #hitamputihtrans7,positive,"['terima', 'kasih', 'membantu', 'menyekolahkan', 'adik']"
Semoga lancar hitamputihtrans7,positive,"['semoga', 'lancar', 'hitamputihtrans']"
Trans7 Hitam Putih terbaik https://www.instagram.com/p/BTYyTXMgVKd/,positive,"['trans', 'hitam', 'putih', 'terbaik']"
Acara hitam putih paling bagus buat di lihat,positive,"['acara', 'hitam', 'putih', 'bagus', 'lihat']"
"@TRANS7 undang @DA3_Rafly di acara hitam putih ya,dia jebolan dangdut academi pinter nyanyi lagu india suaranya keren",positive,"['undang', 'rafly', 'acara', 'hitam', 'putih', 'yadia', 'jebolan', 'dangdut', 'academi', 'pintar', 'nyanyi', 'lagu', 'india', 'suaranya', 'keren-keren']"
"Bagus Rancangan Seperti ini di TRANS7 HitamPutih, Sambil2 Dakwah Hiburannya. Terima kasih Ustadz Wijayanto...",positive,"['bagus', 'rancangan', 'trans', 'hitamputih', 'dakwah', 'hiburannya', 'terima', 'kasih', 'ustadz', 'wijayanto']"
"Wah kapan Rihanna bisa jadi bintang tamu Hitam Putih kayak di @ASAL_Trans7. jadi kangen, kapan tayang lagi di @TRANS7?",positive,"['rihanna', 'bintang', 'tamu', 'hitam', 'putih', 'kayak', 'trans', 'kangen', 'tayang']"
Terimakasih telah menonton Hitam Putih malam ini. Semoga dapat menginspirasi dan dapat memberikan pelajaran utk Sobat7. #RafatharonHP,positive,"['terimakasih', 'menonton', 'hitam', 'putih', 'malam', 'semoga', 'menginspirasi', 'pelajaran', 'sobat']"
Acara hitam putih di trans7 topiknya bagus nih. Ttg Kepribadian ganda.,positive,"['acara', 'hitam', 'putih', 'trans', 'topiknya', 'bagus', 'kepribadian', 'ganda']"
