text,label,processed
semoga untuk pengiriman paket by gosend ada sisitem pembayaran produk cod jd tidak hanyak ongkir nya saja yg bisa dibayarkan ke penerima,positive,"['semoga', 'pengiriman', 'paket', 'by', 'gosend', 'sisitem', 'pembayaran', 'produk', 'cod', 'tidak', 'hanyak', 'ongkir', 'dibayarkan', 'penerima']"
sudah kapok pakai gojek cukup ini yg terakhir kalinya mau pindah ke aplikasi lain aja sdh bbrp kali pakai gofood tp dpt driver yg menjengkelkan sdh minta tolong diantar sesuai titik sesuai map tp driver hanya diam saja tidak mau mencari alamat sesuai titik makasih gojek kita sampai disini saja,negative,"['kapok', 'pakai', 'gojek', 'kalinya', 'pindah', 'aplikasi', 'kali', 'pakai', 'gofood', 'driver', 'menjengkelkan', 'tolong', 'diantar', 'sesuai', 'titik', 'sesuai', 'map', 'driver', 'diam-diam', 'tidak', 'mencari', 'alamat', 'sesuai', 'titik', 'terima kasih', 'gojek']"
sangat membantu dalam aktifitas sehari hari,positive,"['membantu', 'aktifitas', 'sehari']"
sangat membantu promo promonya sayang promo gomartnya sekarang jadi berkurang gak kayak dulu,positive,"['membantu', 'promo', 'promonya', 'sayang', 'promo', 'gomartnya', 'berkurang', 'enggak', 'kayak']"
maps gojek abis di update kok jadi jelek sih posisi driver sering diem di tempat dan gak jalan trus tau driver dah sampe depan jadi gak bisa mantau posisi driver secara akurat gak guna dong appnya saya update,negative,"['maps', 'gojek', 'habis', 'update', 'jelek', 'posisi', 'driver', 'diam', 'enggak', 'jalan', 'driver', 'deh', 'enggak', 'mantau', 'posisi', 'driver', 'akurat', 'enggak', 'appnya', 'update']"
pesen gofood skrg jadi lama harus tunggu dapat driver terlalu lama padahal banyak driver sekitar area resto,positive,"['pesan', 'gofood', 'tunggu', 'driver', 'driver', 'area', 'resto']"
katanya dapat hadiah masuk saldo gopay tapi tidak ada aneh sudah menjawab pertanyaan pertanyaan,negative,"['hadiah', 'masuk', 'saldo', 'gopay', 'tidak', 'aneh']"
kebijalan gopay later setelah migrasi ke mab sangat merugikan dan menyulitkan konsumen lebih baik dg findaya dulu ini dg kebijakan mulfifinance anak bangsa denda dan cicilan sudah dilunasi tetap juga dibekukan harusnya di halaman awal dljelas kan dan dituliskan gede peraturan baru itu jika telat bayar gopay later kau langsung dibekukan walaupun kau sudah bayar denda kan jelas jd gak perlu nyari info pl dl di halaman bantuan yg berjenjang kyk disembunyikan,negative,"['kebijalan', 'gopay', 'later', 'migrasi', 'mab', 'merugikan', 'menyulitkan', 'konsumen', 'findaya', 'kebijakan', 'mulfifinance', 'anak-anak', 'bangsa', 'denda', 'cicilan', 'dilunasi', 'dibekukan', 'halaman', 'dljelas', 'dituliskan', 'gede', 'peraturan', 'telat', 'bayar', 'gopay', 'later', 'kau', 'langsung', 'dibekukan', 'kau', 'bayar', 'denda', 'jelas-jelas', 'enggak', 'mencari', 'info', 'pl', 'halaman', 'bantuan', 'berjenjang', 'kayak', 'disembunyikan']"
aplikasi yang penuh dengan lag jaringan bagus tapi di bilang koneksi bermasalah padahal dicoba di aplikasi lain lancar jaya jaringannya kalo servernya udah berat upgrade lah masa sekelas gojek aplikasinya bermasalah terus,negative,"['aplikasi', 'penuh', 'lag', 'jaringan', 'bagus', 'bilang-bilang', 'koneksi', 'bermasalah', 'dicoba', 'aplikasi', 'lancar', 'jaya', 'jaringannya', 'servernya', 'berat', 'upgrade', 'sekelas', 'gojek', 'aplikasinya', 'bermasalah']"
ngasih limit gopaylater tapi ga bisa dipake,negative,"['mengasih', 'limit', 'gopaylater', 'enggak', 'dipakai']"
