text,score,label
semoga untuk pengiriman paket by gosend ada sisitem pembayaran produk cod jd tidak hanyak ongkir nya saja yg bisa dibayarkan ke penerima,4,Positif
sudah kapok pakai gojek cukup ini yg terakhir kalinya mau pindah ke aplikasi lain aja sdh bbrp kali pakai gofood tp dpt driver yg menjengkelkan sdh minta tolong diantar sesuai titik sesuai map tp driver hanya diam saja tidak mau mencari alamat sesuai titik makasih gojek kita sampai disini saja,2,Negatif
sangat membantu dalam aktifitas sehari hari,5,Positif
sangat membantu promo promonya sayang promo gomartnya sekarang jadi berkurang gak kayak dulu,5,Positif
maps gojek abis di update kok jadi jelek sih posisi driver sering diem di tempat dan gak jalan trus tau driver dah sampe depan jadi gak bisa mantau posisi driver secara akurat gak guna dong appnya saya update,2,Negatif
pesen gofood skrg jadi lama harus tunggu dapat driver terlalu lama padahal banyak driver sekitar area resto,3,Netral
katanya dapat hadiah masuk saldo gopay tapi tidak ada aneh sudah menjawab pertanyaan pertanyaan,1,Negatif
kebijalan gopay later setelah migrasi ke mab sangat merugikan dan menyulitkan konsumen lebih baik dg findaya dulu ini dg kebijakan mulfifinance anak bangsa denda dan cicilan sudah dilunasi tetap juga dibekukan harusnya di halaman awal dljelas kan dan dituliskan gede peraturan baru itu jika telat bayar gopay later kau langsung dibekukan walaupun kau sudah bayar denda kan jelas jd gak perlu nyari info pl dl di halaman bantuan yg berjenjang kyk disembunyikan,1,Negatif
aplikasi yang penuh dengan lag jaringan bagus tapi di bilang koneksi bermasalah padahal dicoba di aplikasi lain lancar jaya jaringannya kalo servernya udah berat upgrade lah masa sekelas gojek aplikasinya bermasalah terus,1,Negatif
ngasih limit gopaylater tapi ga bisa dipake,2,Negatif
di map posisi nya deket aslinya msh jauh makanya aku kasih bintang,3,Netral
kok pelayanan aplikasi tokopedia dan go jek semakin jelek saya top up saldo go pay tidak langsung otomatis masuk ke kedua akun tsb setiap isi saldo harus lapor ke customer servicenya terlebih dulu,1,Negatif
apk apa ini saldo saya di sedot sampe   padahal saya butuh uang itu udah saya laporin malah ya ada tanggapan ga ada kelanjutan masak saya tidur tiba tiba bikin transaksi sendiri aneh banget mana ga tindakan uninstall aja daripada ilang saldo kalian di makan sama dia sekarang di makan lgi ribu gimna sih apk ini,1,Negatif
saya turunin lagi bintangnyakenapa paylaternya saya di blokirtoh selama ini di bayar terus kokmasa cuma beberapa hari gak menggunakan transaksi gopay langsung di blokir,3,Netral
paylater dilock jadi pada males belanja tokped padahal promo di paylatergo food juga,5,Positif
kenapa aplikasinya sering muncul lagi ada masalah tidak bisa di gunakan pada transaksi buruk sekali kesiapa saya adukan,1,Negatif
setelah upgrade kenapa susah sekali masuk ke aplikasi nya selalu keluar lagi gopay latter yang sudah hampir bulan ini selalu bermasalah penjelasan dari laporan juga tidak menyelesaikan padahal kalau terlambat pembayaran denda nya padahal saldo limit masih full,1,Negatif
apk semakin kesini semakin tdk mendukung banyak nge bug ny gak gunaaa gak membantuuu,1,Negatif
ini kenapa jadi gak bisa gini ya gojek sayang bangetkurang terbaru apa update banget itu app gojek saya,1,Negatif
fitur lokasi tersimpannya tolong rapihin ka masa cuma muncul alamat yang bisa interact bisa liat alamat yang lainnya tapi ga bisa di interact percuma dong disimpan duh gimana sih jelasinnya coba deh save lebih alamat yang ke dst itu ga bisa di klik,1,Negatif
tolong perbaiki untuk gofood masak anter makanan bisa sampe jam padahal makanannya jadi cuma menit kami sebagai pihak resto jadi kesal karena sering kena komplain dari pihak pelanggan,1,Negatif
masukan buat gojek yaitu sangat mendukung jika driver gojek kasih bintang kecil resto sama dengan menghapus riwayat dengan resto bersangkutan alasan agar meningkatkan kesungguh an dalam pekerjaan baik driver maupun resto cukup adil bagi driver kehilangan riwayat dengan resto sebaliknya cukup adil juga bagi resto kekurangan driver begitu juga sebaliknya riwayat driver akan kuat dengan resto jika driver beri buat resto terima kasih salam gojek semoga makin sukses,5,Positif
layanan yang sangat bisa diandalkan banyak promonya juga terutama pesan antar makanan,5,Positif
instal karna pengen kasih bintang tolong ya iklannya mengganggu,1,Negatif
kemaren masih bisa sekarang ga bisa lagi tolong di bantu ini kenapa biasa nys saya beli di shopee pake gosend instan bisa lacak driver nya udah sampe mana tapi sekarang ga bisa tolong di bantu,5,Positif
pelayanan dan promo terbaik tidak pernah mengecewakan,5,Positif
bingung mau ngomong apa bagus semua soalnya,5,Positif
masukan ya min saya suka belanja di berapa toko butuh fitur gosend yang bisa ngambil barang di beberapa titik toko dan di antar semua barang itu si satu alamat thankyou,4,Positif
aplikasi nya lagi bermasalah sado saya ga balik setelah gagal transaksi,1,Negatif
semakin mendukung kemageranku keluar kost buat beli makan karena promo gofood ga kira banyak bangettttttt,5,Positif
selama pake gojekblm pernah kecewasmg selalu lebih baik lagiaplikasinya sama para driver nya,5,Positif
selama saya menggunakan aplikasi ini terkendala dengan koneksi yang diharuskan mengunakan wifi tolong sama devnya agar segala fiturnya bisa koneksi dengan jaringan apapun yang penting ada koneksi internet baik wifi atau paket data agar memudahkan pengguna,4,Positif
apk apaan ini transaksi gagal saldo tetep kepotong isi keterangan saldo di refund tapi tetep aja ngak balik saldo saya sudah saya coba hubungin via email sama via pusat bantuan di aplikasi responya lama kali sekali di respon yg respon malah bot,1,Negatif
makin lama makin tidak bagus pelayanan gofood jarak dekat tapi pengantaran jam lebih jarak resto cuma km,1,Negatif
aplikasi nya sering crash tolong la di perbaiki bug nya,2,Negatif
tidak bisa masuk di android,1,Negatif
aneh akun saya padahal sudah upgrade tapu gak bisa kirim saldo kan apk tolol,1,Negatif
mau transaksi malem malah gangguan mulu beli token aja susah gara ada perbaikan jadi gagal terus,1,Negatif
masalah saya itu transaksi saya dinyatakan gagal tapi saldo saya berkurang sesuai dengan jumlah transaksi dan itu tidak terbaca di riwayat solusinya apa pengembalian dana atau trackingnya gimana kasih kejelasan,5,Positif
kenapa servernya gangguan mlu sih saya lagi urgent mau buka pesenan tiket go transit malah gak bisa saya mau pulang gk bisa kluar stasiun ini makin gak jelas aplikasinya,1,Negatif
aplikasi   jls klai setiap   perluin barcode lu slalu   bisa buat bayar kn ngeselin bngt klau bukan soal uang jg lu dh gw maki bos,1,Negatif
mulai gak jelas aplikasinya gopayleter gak bisa di gunakan padahal limit masih utuh,1,Negatif
kecewa dengan sekarang tidak bisa bayar qris dengan gopay later,2,Negatif
paylater ga bisa di pake kenapa ya tadi nya dpet limt jtan turun jdi,1,Negatif
paylater ga bisa di pake kenapa ya tadi nya dpet limt jtan turun jdi,1,Negatif
diskon jadi sedikit saya pulang pergi kerja main musik pakai transportasi gojek sekarang gojek sudah mahal sampai saya harus jalan kaki berangkat atau pulang kerja parah bangetudah turun sekarnag naik lagi ga ada diskon lagi parha mahal,1,Negatif
makin terbelakang aplikasi nya nambahin mode pembayaran jenius gak bisa,1,Negatif
loginmasuk aplikasi ini kalau bisa dipermudah tdk usah dikasih banyak pertanyaan,2,Negatif
apa lagi ini gopaylater ga bisa di pake kecuali di goridegocargofood apa apaan ini gua butuh buat beli kuota malah ga bisa di pake gmn sih edit hari ini gopaylater ga bisa di pake di semua layanan ada apa ini mau di layanan gojektokopediadll ga bisa sama sekali,1,Negatif
eror terus yaampun server bermasalah server lagi padat udh update sama aja udh uninstall trus install lagi sama aja pdhal lagi butuh saldo di gopay lgi butuh goride buat pesenan online jdi terkendala banget tolong dong dibenerin udah keseringan eror nih mana disaat urgent,1,Negatif
tolong respon nya uda melakukan pelunasan gopaylater sebelum jatuh tempo melalui va bca mobile berhasil tapi tagihan masi muncul dan serta laporan belum ada jawaban yang memuaskan,1,Negatif
aplikasinya kurang memuaskan kali drivet ga balas chat saya tanya apakah di cancel aja atau ngak malah di diemin kalau telat menit   kasih diskon   maaf waktu saya jauh lebih berharga daripada itu satan saya mungkin dibuatkan siste vip buat yg mau bayar lebih dapat driver yg lebih dekqt untuk customer urgent,2,Negatif
tiba tiba aplikasi nge stuck trus close sendirisusah dpet driver,1,Negatif
bego ga bisa hapus alamat yang tersimpan lebih bego dari aplikasi sejenis yanh lain cuma karena disuntik dana doang bisa bertahan karya anak bego,1,Negatif
sangat berguna dan membantu,5,Positif
payahh limit masih ada tapi gopaylater gabisa dipake ga kaya dulu mudah dalam menjalankan kannya,1,Negatif
di tingkatkan lg kwalitas nya,5,Positif
november baru pake lagi gojek aplikasi ok driver banyak tarif ok penggunan baru banyak promo makasih gojek dan tim,5,Positif
sangat membantu dalam pesan antar,5,Positif
agak aneh yaa saya order gofood itu menunggu dapat driver nya lama sedangkan dilapangan banyak driver driver yg nganggurbelom dapet order jadi ini prioritaskan driver unggulan kasihan driver driver non unggulan lainnya jadi saya baru dapet driver ketika driver unggulanprioritas itu menyelesaikan orderan sebelumnya,1,Negatif
selalu susah pesen gocar terlalu jauh driver ada yg tidak terlalu jauh lngsungd   kawab sedang makan mintak di cancel,1,Negatif
ga jelas banget sekarang gojek tidak bisa menggunakan gopaylater lagi padahal tidak pernah telat membayar,1,Negatif
saya mau tanya katanya bisa beli pulsa di tokopedia dengan sistem cicilan tapi kenapa tagihannya malah full sebulan saya kan mau   bayar apa ada yang salah sistem gopay later tolong di jawab min,1,Negatif
orderan sy dpt lawan arah koq bisaya sy buat pilihan orderan satu arah lingkar selatan arah pulang karna udah mlm terus msk orderan ke lawan arah mandalo darat yah dgn hati kesel sy jalani jg das udah selesai orderan yg ini ttp sy lanjutkan order satu arah lingkar selatan   ini msk tp ke arah kenali besar jg lawan arah yg sy inginkan karna kesel abis orderan sy tdk jln kan pertanyaan sy kenapa pertanyaan sy tdk   jawah koq malah nanya,3,Netral
maav kaksaya ingin mengeluarkan keluhan karna saat inisaya ingin membayar tagihan gopay pinjam dan menggunakan virtual acounttp tdk bisadn disitu pun tdk ad pilihan yg bisa di gunakan sedangkan gopay saya diblokir dn tdk bisa dibuka kembalitolong ditindak lanjuti kakkarna sya ingin membayar cicilandan akan jatuh tempo besok,1,Negatif
sekrang nyaman karena respon dan drivernya dengan baik,5,Positif
sekarang kalau mau nge gofood nggak asik jaraknya jauhjauh padahal pilih terdekat,3,Netral
sangat membantu untuk perjalanan aktivitas kerja,5,Positif
akurat dan membantu dalam keseharian pada transportasi dan terjamin aman,5,Positif
mantap cepat akurat,5,Positif
saya kecewa saya lupa ganti nomor dan nomor lama hilang pin juga saya lupa namun emailnya aktif dari infonya bisa verifikasi by email untuk kemudian ganti nomor namun malah diminta pin lagi saya sudah coba via email tidak ada respon melayang sisa saldo gopay padahal sebelumnya untuk mengganti nomor dan pin via email masih bisa sekarang sudah dapat otp via email masih harus masuk pin ketika pakai menu pilihan lupa pin malah otp tidak ada opsi via email,1,Negatif
ngasih promo gopay later potongan tpi gabisa di pakai udh daftar ulang malah ga di setujui dengan alasan yang menurut saya tidak sesuai dgn apa yg terjadi sm saya padahal sblm nya udh pernah pake gopay later sekali tapi sekarang mau make lagi harus daftar lagi udh daftr malah gabisa di gagalkan terus kalo ngsh promo ga niat ya ga usah apk tolol org butuh cepat malah di perlambat ga jelas asli buruk sekali,1,Negatif
tombol buat pencet tombol metode pembayarannya terlalu kecil,3,Netral
ini gimana si gojek akun gopaylater saya ga bisa digunakan padahal sebelumnya bisa gapernah galbay gopay later juga trs sekarang malah gabisa dipakai utamain kepuasan pelanggan dong bener mau semuanya beralih ke sebelah saya mau akun gopaylater saya aktif digunakan kembali ya,2,Negatif
aplikasi gofood makin lambat cari driver nya dan maps driver dari awal juga ga keliatan malah pas udah jalan baru nampak pokoknya pembaruan kali ini bukan makin efektiv,1,Negatif
perjalanan jadi nyaman menggunakan gojek aman dan bagus,5,Positif
algoritma pemilihan driver terlalu jauh tidak mendapatkan driver terdekat menyusahkan,1,Negatif
pelayanannya cukup memuaskan ramah dan nyaman,5,Positif
kenapa gopay later saya tidak bisa di gunakan kembali padahal saya sudah bayar tagihan dan limitnya masih ada mana disana di tuliskan ops ada sedikit ganggu masa mulai tgl sampai sekarang tgl masih gangguan terus tolong di perbaiki sistem nya mana kalau telat bayar kena denda rb giliran mau pakai gopay later malah gak bisa sama sekali,5,Positif
baru saja menambahkan kartu debit untuk pembayaran menit kemudian kartu tsb hilang sendiri ajaib,1,Negatif
udah bagus kalo bisa banyakin promo,5,Positif
aplikasinya bagis kalian wajib cobain deh pasti ga bakalan nyesel,5,Positif
aplikasinya bagis kalian wajib cobain deh pasti ga bakalan nyesel,5,Positif
harga mahal menang nama doang harusnya bisa bersaing sama yg baru lebih murah hilangkan biaya layanan mending murah customer banyak daripada mahal customer sedikit,2,Negatif
sangat bermanfaat sayangnya ketika saya hendak membayar tagihan gopaylaternya karena hape saya hilang akhirnya tidak bisa   bayarkan mohon kiranya pihak gopay later menidaklanjuti,5,Positif
status juragan pembayaran lancar limit ada blm di pake eh pas update paylater gak bisa di pake apus aja limit nya,1,Negatif
selalu yangkutnya driver yg jauh map dan posisi driver sering gak sesuai,2,Negatif
saya pakai gojek sudah lama sekalitiba tiba kenapa gopay latter tidak bisa digunakansaya walau pernah telat membayar tagihan gopay latter tapi tetap selalu saya bayar dengan dendanyatapi kali ini sya tidak bisa gunakan sama sekalibikin kecewa aja nih gojektolong beri penjelasan yang akurat ya terima kasih,1,Negatif
saya kasih bintang dulu semakin di update sama sekali ga bisa buka menu yg ada di aplikasi gojek lemot parah padahal buka aplikasi lain aman,2,Negatif
cukup baguspertahankan kualitas pengantar para drivernya,5,Positif
gopay gimana sih saldo baru top up tiba tiba hilang diriwayat juga gak ada transaksikomplen di ig gak ada responbener bener payah,1,Negatif
saya pakai gopaygojek sejak awal rilis tapi kali ini banyak masalah nya top up saldo gopay masuk nya malah ke jago setelah di buka kantong jago nya tidak bisa di akses duit nya ilang gk tau kemana padahal mau bayar gopay later akhir nya telat bayar dan di denda apakah ini di sengaja developer agar kita banyak nunggak loading apk nya lamban,1,Negatif
gakkk mau gw download ni lgi masa mau daftar aja susah jangan download guys gw bebrapa kali nyoba tetap gak bisa huhuhuhuhuuuuuu gblok,1,Negatif
gimana nih minsaya pas masukin pin ada tulisan wahkebanyakan nyoba gimana nihh saldo saya masih ada,1,Negatif
udah   update berkali loh ttep ga bisa isi saldo   temenkecewa,4,Positif
semakin di update semakin banyak yg bermasalah aplikasi nya,1,Negatif
mempermudah di saat mager,5,Positif
gak bisa di abdet gak bis tf gak bisa buat pembayaran payah deh,2,Negatif
kadang ada driver yang nyebelin ngeselin waktu itu aja ada driver yang minta uang gak sesuai sama aplikasi smga aja mitra yang seperti itu bisa di tindak tegas terima kasih,5,Positif
terlalu banyak aturan sebaik nya gmn cara nya orderan banyakbkn banyak aturan basicari solusi yg bisa draiver bsa bahagia nyaman   jln bkn castemer yg   untungkan draiver jga haris vipti lah,1,Negatif
ongkir gofood makin hari makin mahal bgt belum lagi sama biaya layanan dll paarah bgt udah gt gara ada mode hemat jadi makin lama pesanan gofood nya,1,Negatif
dulu pas limit masih   bisa dipake paylater nya sekarang limit paylater jt limit   jadi hilang ga bisa dipake sama sekali suruh nunggu hari tapi udah tahun lebih tetep ga bisa pake,1,Negatif
bener gak ngotak pesen makanan di restoran cepat saji tapi makan waktu setengah jam entah driver atau resto nya yg lalai bner gak improve,1,Negatif
nie aplikasi yang sangat membantu ketika mau bepergian mudah dapet driver dan cepet,5,Positif
komplain pesanan gofood karena tidak lengkap masa musti tunggu kabar paling lambat jam lah percuma aja komplain klo nunggu segitu lama,1,Negatif
tagihan tidak pernah jatuh tempo rutin menggunakan gojek entah itu cash atau gopay awal awal lancar pakai gopaylater kenapa tiba dibekukan tanpa ada masalah saya beri bintang jika masih mempersulit saya maka saya akan beralih memakai apk lain,1,Negatif
tolong lah gojek saya costumer gofood merasa sangat dirugikan jengkel ketika orderan saya lama yang dikarenakan sang driver punya orderan sekaligus tolong hapus fitur tersebut jangan terlalu maruk rakus uang utamakan kenyamanan costumer pengguna,1,Negatif
app lola mau pesan makanan tiba tiba lag ga bisa di pencet mengenai promo kenapa banyakan promo jika pembayaran nya paylatter paling gaksuka ngutang tolong promo nya dibanyakin kaya dulu pembayaran gopay asli skrg jadi males pesen gofood,1,Negatif
ada apa ya dengan gopay later saya pdhal sebelumnya ga pernah ada kendala dn selalu bisa di andalkan dan semua yg disarankan untuk melakukan regis ulang untuk perubahan sudah komplit tpi tiba ga bisa dipakai capedehh pliss balik lagi aja ke findaya,1,Negatif
kecewa banget ama gopay later udah sering bayar tapi skrg udh gabisa dgunain kecewa sih terus limitnya buatt apa,1,Negatif
drivernya ramah dan sopan sepanjang sy menggunakan jasa aplikasi ini hanya sajasktg tarifnya mahal betul tdk sebanding dgn umr yg ada di daerah sering adain promo dong boss biar kami para karyawan dg penghasilan pasan bisa ttp menggunakan jasa aplikasi ini dan aplikasi ini ttp kompetitip pastinya,4,Positif
tibatiba saldo gopaylater tidak bs dipakai padahal ada rb bisa pindah ke akun sebelah niii padahal berguna banget cashles gopaylater,1,Negatif
alamat resto tidak di temukan driver sedangkan pesanan sudah di buat lalu saya mau cancel tp ga bisa mau nya apaaaa,1,Negatif
beli pulsa kok gak bisa mana udah is   saldo hadeh noob,4,Positif
aplikasi sudah update dan sudah saya coba di hp ke saya seperti yg di sarankan cs tapi kenapa gopay later saya masih juga belum bisa digunakan padahal saldo gopay later masih blm di gunakan tolong lah jika ada permasalahan di akun saya segera perbaiki,1,Negatif
tampilan ui ribet tidak user friendly tidak dapat mengubah metode pembayaran jika salah klik karena balik lagi ui nya ribet tidak user friendly,2,Negatif
sejauh ini memudahkan aku buat transaksi kemana saja dan aplikasi di hp aku ringan dan gak lemot itu saja dan kembangkan biar lebih baik lagi,5,Positif
sya ga prnah di marahin yaa tpi tdi siangg sya dimarahin tukang ojek grgr titik salah hanya beberapa metr dan krna dia kepanasan cuma menit blng nya lama sya sudah jelasin tpi dia mencoba mebela diri sya sebagai perempuan ga terima di marahin cuma grgr hal sepele tolong donkk gojek jgn ada lagi driver yg ga sopan seperti ini saya naik ojek bayar,1,Negatif
limit pay later masih ada belum jatuh tempotapi tidak bisa di pakai payah mau daftar gopay pinjam sudah terpilih jadi member pas mau daftar malah di tolak payah sekali makin kesini makin ribet buat isi pulsa aja limit yg ada   bisa di pakehadehh,1,Negatif
pesanan barang di tokopedia buka inbox di gojek tp tidak bisa di tracking posisi driver nya bahkan di klikpencet pun tidak bisa,1,Negatif
tolong saya pesan gofood trus pas driver dateng ke resto ternyata tutup dan saya ga bisa batalin tolong di bantu dong kasian driver nya,1,Negatif
aplikasinya mantap cuma kurangnya gaada go fly jadi gabisa menghindari macet,5,Positif
tlg lah dtingkatkan lgdsaat sya mw krja loh gk dpat driver,1,Negatif
tlg lah dtingkatkan lgdsaat sya mw krja loh gk dpat driver,1,Negatif
cepat driver sopan menjaga keamanan,5,Positif
tolong dong aplikasinya diperbaiki tiap ada telepon driver masuk tidak akan muncul di layar hp terpaksa harus saya telepon ulang,3,Netral
mengecewakan masih bagus yg lama gak pernah ada kendala walau limit kecil tp lancar nah ini pembaruan limit besar tp ngadat cm hiasan aja gak bisa   pakai malahan,1,Negatif
aplikasi sejauh ini berfungsi dengan baik,5,Positif
kenapa setiap bulan nya saldo gopay saya kepotong rp tolong lah jangan suka ngerugikan kami,1,Negatif
sangat membantuand bermanfaat semoga makin maju and ttp berkembangttp salulu di ats apl gojek,4,Positif
tetiba gopaylater gak bisa dipakai sejak diupgrade tidak pernah telat tidak over pemakaian entahlah apa penilaiannya sampai banyak yg bernasib sama heheauto delete aja bulan depan krn cs juga tdk bisa dihub,1,Negatif
pengantaran lama keburu laperkalo bisa ongkir jangan mahal mahal kek apa toh driver dapet order juga udah lumayan,1,Negatif
kenapa gak bisa liat driver sampai mana ya klo pesen makananbiasanya kita bisa liat dr peta skrng berubahenak yg dlu,2,Negatif
percuma pembaruan bukannya meningkat malah tambah ancur pendapatannyasudah profeder dibuat mainan sama operator sering off dilihat diakun castamer sering tidak muncul hitungan sekor juga tidak sesuai ini lama driver dibunuh pelan dengan modus go food trip pendek dengan alasan tambahan pelayananpendapatan dipangkas castamer dilindungi karena asetsekarang castamer dibodoh   dengan cara paket reguler tapi yg masuk didriver trip pendekoperator sebagai anak emas dengan alasan sistem,1,Negatif
ajarin driver sop untuk ramah ke pelanggan dari awal pick up muka udh jutek oke saya   aja pas jln nya pelan pdhl saya udh mintol dgn sopan pak maaf jln nya bsa cepet gk saya dah telat tpi dia jawab ketus oke saya msh sabar pas di jln saya di salahin sama driver nya mba harus nya tau dong lokasi nya dmna kan jadi nya nyasar hello gua naik ojol tuh emang gk tau alamat nya trs ngapain gua naik ojol kalo gua yg harus cari tau alamat nya padahal udh tag alamat sesuai tujuan,1,Negatif
akhir ini knp voucher ny hilang smua nd ad sisa knp ya tlong dong diurus trus akun mau dihpus jg nd bs,2,Negatif
tolong ya gojek untuk mempermudah complain mechanismnya omset trilyunan masa no call center costumer susah dihubungi gmn caranya kita chat driver kalau hp kita ketinggalan di gocar saya menit baru bs kesambung dgn call center,3,Netral
banyakin promo kak untuk gofood nya untuk daerah pangkalpinang bangka belitung,5,Positif
