word,index
<OOV>,1
makan,2
milu,3
orang,4
israel,5
the,6
enak,7
palestina,8
politik,9
iya,10
indonesia,11
banget,12
iran,13
apa,14
harga,15
anak,16
anies,17
tahun,18
main,19
pilih,20
and,21
ganjar,22
baik,23
bandung,24
menu,25
of,26
timnas,27
dukung,28
bagus,29
didi,30
jalan,31
lihat,32
is,33
sehat,34
restoran,35
rakyat,36
coba,37
gue,38
pas,39
malam,40
salah,41
keluarga,42
suasana,43
pimpin,44
deh,45
masuk,46
negara,47
suka,48
rupiah,49
nyaman,50
presiden,51
goreng,52
dolar,53
kayak,54
pelayan,55
jokow,56
pandang,57
on,58
kota,59
menang,60
ayam,61
bali,62
menteri,63
kuliah,64
nasi,65
prabowo,66
besar,67
bawa,68
kali,69
damai,70
pakai,71
sar,72
lumayan,73
rumah,74
minum,75
jelas,76
nikmat,77
that,78
nyata,79
for,80
masyarakat,81
moga,82
kata,83
pesan,84
teman,85
mahal,86
with,87
lokasi,88
cocok,89
aman,90
you,91
warga,92
hamas,93
baswed,94
resto,95
they,96
as,97
kurikulum,98
kerja,99
bilang,100
hadap,101
hasil,102
not,103
saji,104
langsung,105
partai,106
milik,107
are,108
beda,109
laku,110
cari,111
sete,112
keren,113
tuju,114
kuat,115
jaga,116
sedia,117
porsi,118
gaza,119
mantap,120
pikir,121
allah,122
tingkat,123
ketua,124
ren,125
steak,126
anjlok,127
us,128
putus,129
sunda,130
utama,131
oke,132
khas,133
jam,134
kasih,135
dunia,136
bantu,137
suara,138
adil,139
war,140
sayang,141
beli,142
nama,143
attack,144
bakar,145
ribu,146
jangkau,147
murah,148
buka,149
cepat,150
agama,151
hati,152
kafe,153
kecil,154
senang,155
this,156
rekomendasi,157
lu,158
cil,159
ayo,160
jelang,161
ramai,162
jakarta,163
muda,164
habis,165
sambal,166
bangsa,167
mi,168
by,169
terima,170
penuh,171
butuh,172
no,173
ramah,174
favorit,175
capres,176
merdeka,177
its,178
tinggal,179
be,180
an,181
kualitas,182
luas,183
kunjung,184
siang,185
maju,186
ubah,187
tunggu,188
letak,189
sesuai,190
air,191
tahan,192
bakso,193
rahajeng,194
ajar,195
segar,196
turun,197
calon,198
sok,199
rawuh,200
ikan,201
pasang,202
daging,203
hidup,204
hat,205
alam,206
tarik,207
bangun,208
duduk,209
kuasa,210
kpu,211
bersih,212
banding,213
asa,214
negeri,215
will,216
kemarin,217
kalah,218
harap,219
from,220
rupa,221
nilai,222
islam,223
all,224
barat,225
unjung,226
indah,227
enggak,228
lengkap,229
parkir,230
memahfud,231
but,232
daerah,233
we,234
gibr,235
kenal,236
bayar,237
have,238
has,239
rp,240
kopi,241
sekolah,242
serang,243
