full_text,processed
Setelah UKT terbitlah Tapera. Ini Indonesia negara BU apa gimana sih. Biaya nambah mulu sejahtera kagak.,ukt terbitlah tapera indonesia negara bu apa-apa biaya bertambah mulu sejahtera kagak
 km tinggi ya tinggian UKT https://t.co/M4f9RIHf9x,tinggian ukt
PTN! ALERTA ALERTA MEMANGGIL SELURUH REKAN REKAN MAHASISWA DAN CALON MAHASISWA UNTUK MENGAWAL PEMBATALAN KENAIKAN UKT TA 2024-2025 https://t.co/Kfzi89GpRt,ptn alerta alerta memanggil rekan rekan mahasiswa calon mahasiswa mengawal pembatalan kenaikan ukt ta
Dikasih keributan UKT dibobol dari pintu belakang.,dikasih keributan ukt dibobol pintu
Sebelum beneran terbukti ada penurunan di tagihan UKT kawal terus teman-teman. Tidak hanya semester ini. Semester depan tahun depan dan berikutnya juga. Jangan sampai berhenti di pernyataan media saja.,benaran terbukti penurunan tagihan ukt kawal temanteman tidak semester semester tahun-tahun jangan-jangan berhenti pernyataan media
Hanya dalam setahun saja saya sudah menerima 3 surat pengunduran diri dari mahasiswa yang tak kuat bayar UKT. Mereka semua dari kelas menengah. Sedih rasanya kalau ada yang mereduksi masalah ini UKT menjadi soal like-dislike politik belaka.,setahun menerima surat pengunduran mahasiswa kuat bayar ukt kelas menengah sedih mereduksi ukt likedislike politik belaka
yang ga sopan mah first date langsung suruh bayarin UKT 1 semester,enggak sopan mah first date langsung suruh bayarin ukt semester
mau pindah tapi baru bayar ukt https://t.co/ftL1D0N9A8,pindah bayar ukt
UKT: Udahlah Kita Tapek Apalagi apalagi~ | Narasi Daily https://t.co/Ucsi7em7cH,ukt tapek narasi daily
[cm] kondisi keluargaku saat ini doain ya spy bs bayar ukt januari https://t.co/OpQwSBvNVD,kondisi keluargaku doain bayar ukt januari
Orang tua menangis karena mendapati UKT anaknya yang tidak sesuai dengan pendapatan sehari-hari. Kemungkinan tidak akan melanjutkan pendidikan di kampus UIN Suska Riau. Semoga ada pihak yang membantu beliau. https://t.co/aS7Y1tvUGQ,orang-orang tua menangis mendapati ukt anaknya tidak sesuai pendapatan seharihari tidak melanjutkan pendidikan kampus uin suska riau semoga membantu beliau
Muhammadiyah ini konkrit amal usahanya. Ada anak petani ga bisa bayar UKT bisa bayar pakai hasil bumi. Setidaknya ada dua masalah selesai pertama masalah UKT; kedua distribusi hasil bumi dari produsen ke konsumen. Langkah ini harus dicontoh oleh ormas lain yang punya kampus.,muhammadiyah konkrit amal usahanya anak-anak petani enggak bayar ukt bayar pakai hasil bumi selesai ukt distribusi hasil bumi produsen konsumen langkah dicontoh ormas kampus
Breaking News: Nadiem Makarim Batalkan Semua Kenaikan UKT Tahun Ini **** Nadiem menyampaikan keputusan ini usai bertemu Presiden Joko Widodo di Istana Kepresidenan Jakarta pada Senin 27 Mei 2024. #NewsUpdateTempo #UKT https://t.co/AcLuOJY8XJ,breaking news nadiem makarim batalkan kenaikan ukt tahun-tahun nadiem keputusan bertemu presiden joko widodo istana kepresidenan jakarta senin mei
 Pas itu di pikiranku cuma mati aja. Aku mikirnya kalau aku gak ada pasti orang tuaku gak perlu bayar 4 juta per semester dan mikirin biaya kos plus makanku di sini. Nestapa Keluarga Kelas Pas-pasan Mengejar Gelar Sarjana #PendidikanHarusGratis #UKT https://t.co/ovrKbAFhmv,pas pikiranku mati mikirnya enggak orang-orang tuaku enggak bayar juta semester memikirkan biaya kos plus makanku nestapa keluarga kelas paspasan mengejar gelar sarjana
[cm] sebagai mahasiswa daripada kuliah full digratiskan jujur aku lebih setuju kalau UKT lebih transparan dan good fit dengan kondisi mahasiswa juga KIPK yg lebih tepat sasaran udah gitu aja sih️ kalian gimana guys? setuju atau ada pendapat lain? https://t.co/D7h2XCjbqg,mahasiswa kuliah full digratiskan jujur setuju ukt transparan good fit kondisi mahasiswa kipk sasaran guys setuju pendapat
Anggaran UI thn lalu Rp 3 2 triliun (UGM Rp 3 triliun). Mahal juga kelola kampus besar. Nah UI dpt bantuan dana pemerintah 15% saja (Rp 500m). Sisanya atau Rp 2 7 triliun UI harus akrobat cari via UKT x aneka usaha x hibah. Harusnya RI kasi bantuan 50%. Jngn hanya 15%. https://t.co/wHwQInHW41,anggaran ui rp triliun ugm rp triliun mahal kelola kampus besar-besar ui bantuan dana pemerintah rp sisanya rp triliun ui akrobat cari via ukt aneka usaha hibah ri kasih bantuan jangan
@CNNIndonesia Salam tapera 156 Negara dibangun diatas kaum menengah Yg menengah kebawah dapet bermacam2 subsidi Kelas atas dapet tax amnesti dll Kelas menengah dapet bayar tapera bpjs kes bpjs tk PPH kenaikan ukt kelas bpjs harusnya kelas 1 dihapus disamaratakan daaan kenaikan ppn https://t.co/kz0nDTw7FX,salam tapera negara dibangun diatas kaum menengah menengah kebawah subsidi kelas tax amnesti dll kelas menengah bayar tapera bpjs kes bpjs pph kenaikan ukt kelas bpjs kelas dihapus disamaratakan daaan kenaikan ppn
[cm] guys semoga ada titik terang untuk ukt kita semua https://t.co/KUN60aihs8,guys semoga titik terang ukt
Ugm_fess Uang pangkal dikasih ke semua golongan UKT https://t.co/mi7Iy1J8di,ugmfess uang pangkal dikasih golongan ukt
[cm] pdhl mau nyindir petinggi krna ukt tinggi ehh mlh supir truk yg kesindir https://t.co/N5yPP2BhZM,menyindir petinggi ukt eh supir truk kesindir
-dips! buset baru tau bayar ukt dpt bisa hadiah anjirrr https://t.co/o89SxEaBPi,dips buset bayar ukt hadiah anjir
Menjadi jelas ya bhw yang menaikkan UKT adalah Mendikbud - artinya dinakkan oleh rezim Jokowi. Rektor yg dipilih Jokowi sbg pelaksana. Ini proklamasi dari Rezim Jokowi bhw mulai 2024 HANYA ORANG KAYA YANG BOLEH JADI MAHASISWA ! Selamat menikmati PILIHANMU https://t.co/BQBchkxuWW,jelas-jelas menaikkan ukt mendikbud dinakkan rezim jokowi rektor dipilih jokowi pelaksana proklamasi rezim jokowi orang-orang kayak mahasiswa selamat menikmati pilihanmu
Kenaikan UKT ((Tahun ini)) ini dibatalkan. Baleg DPR Kembalikan Draf RUU Penyiaran ke Komisi I karena Timbulkan Kontroversi Protes kita berdampak loh. jadi jangan putus asa dulu ayo kita suarakan terus. ️ https://t.co/Vub001xKEs,kenaikan ukt tahun-tahun dibatalkan baleg dpr kembalikan draf ruu penyiaran komisi timbulkan kontroversi protes berdampak jangan-jangan putus asa ayo suarakan
