full_text,processed
@kumparan nanti ada tandingannya perhimpunan guru yg sebelumnya tak pernah terdengar,tandingannya perhimpunan guru terdengar
@kumparan Nah gitu dong. Semangat Pak dan Ibu Guru.,semangat guru
@kumparan Gw saranin aja program ini mending potong dari gaji atau dana untuk PNS MENTERI LEGISLATIF POLRI.,gue menyarankan program mending potong gaji dana pns menteri legislatif polri
@kumparan Kenapa skrg bapak ibu guru menolak? Bukannya kemarin bapak ibu guru serempak mendukung ?,guru menolak kemarin guru serempak mendukung
@kumparan Kyknya guru²nya ini pro asing yg ga pgn generasi masa depan jadi sehat dan pintar Contoh komen di sebuah platform ,kayaknya gurunya pro asing enggak pengin generasi sehat pintar contoh komen platform
@kumparan Tebak di TikTok pasti profesi guru akan jadi 'enemy' bagi pendukung bodog 02. Profesi guru akan diejek dihina. Mereka tidak akan fokus ke isi kritik (objektif) progam makan siang tp yg dihujat subjeknya P2G secara khusus dan profesi guru secara umum. Liat saja FYP kedepan.,tebak tiktok profesi guru enemy pendukung bodog profesi guru diejek dihina tidak fokus isi kritik objektif progam makan siang dihujat subjeknya pagi khusus profesi guru lihat fyp kedepan
@kumparan Bukan makan siangnya yang dipermasalahkan woiy tapi menolak duitnya dipakai. Duitnya.. Du It nya. Jangan kayak tetangga gua dah luh yang bilang gua larang dia beli mobil padahal mah yang gua larang itu dia parkir depan pintu gua. Beda persoalan.,bukan makan siangnya dipermasalahkan woiy menolak duitnya dipakai duitnya du jangan-jangan kayak tetangga gua deh lu bilang-bilang gua larang beli mobil mah gua larang parkir pintu gua beda
@kumparan Saya setuju dana BOS dipakai buat makan gratis saya mah bodo amat udah dibilangin gagasan 02 ngawur eh malah dimaki gw nya sorry ye soryy,setuju dana bos dipakai makan gratis mah bodo dibilangin gagasan ngawur eh dimaki gue sorry ye soryy
@kumparan Apa dana bos ngaruh ke gaji guru? ,apa-apa dana bos ngaruh gaji guru
@kumparan Menolak itu pas Pemilu. Saya sudah menyampaikan bahwa program makan siang gtatis itu banyak kelemahannya tapi saya tidak dipercaya malah saya dihujat. ,menolak pas pemilu program makan siang gtatis kelemahannya tidak dipercaya dihujat
@kumparan itu baru anak sekolah.. yg bumil gimana itu ntar?,anak-anak sekolah bumil entar
@kumparan Ah guru2 ini emang serakah muridnya mau dikasih makan aja mereka menolak. Hargai lah pejabat kita yang sudah berjuang untuk masa depan bangsa indonesia merdeka macan asia ini.,ah guru serakah muridnya dikasih makan menolak hargai pejabat berjuang bangsa indonesia merdeka macan asia
@kumparan Siap siap aja guru dituduh yang ngga ngga,guru dituduh enggak enggak
@kumparan Berani beraninya nolak klen hanya diminta joget saja oke gas oke gas jangan sekali2 nolak penguasa,berani beraninya nolak joget oke gas oke gas jangan-jangan nolak penguasa
@kumparan kenapa gak ngambil dari dana tambang hasil Hilirisasi Nikel kebanggaan Wapres 02?,enggak ngambil dana tambang hasil hilirisasi nikel kebanggaan wapres
