full_text,processed,predicted_label,predicted_probability_netral,predicted_probability_negatif,predicted_probability_positif
"@safergieway @PSSI True bang. bener² ga ngerti sih cara mainnya pssi, pelatih kelas dunia mah bisa kapan ajaa. kalo kompetisi ga jalan yaa percuma wkwk timnas cowok aja yg punya kompetisi setengah mati pengen prestasi",true bang erti main pssi latih kelas dunia mah kompetisi jalan wkwk timnas cowok kompetisi mati pengin prestasi,Negatif,0.021736855,0.9211045,0.057158653
Padahal buat jam terbang dan latihan kan kalo ada liga dan klub ya timnas aja mainnya per berapa tahun dl 😅,jam terbang latih liga klub timnas main,Netral,0.85009944,0.09841969,0.05148085
@garagarabola_ Lebih penting timnas bagus mainnya daripada segala Jersey aja dikerenin🤭,timnas bagus main jersey renin,Positif,0.008566684,0.07091568,0.9205176
"@Tyows pdhal Pemain Timnas inggris nih gw rasa gada 1 pun Midfielder yg gaya mainnya kyak Mainoo,kenapa masih ga sat set buat manggil dia wkwk",main timnas inggris gue enggak ada midfielder gaya main kayak mainookenapa sat set manggil wkwk,Netral,0.42566127,0.2556535,0.31868526
"@utdfocusid @bliblidotcom Semuanya out kecuali hojlund, diganti sm pemain2 timnas kcuali Struick wkwk mainnya masih bagusan timnas kmrn cok",out kecuali hojlund ganti main timnas kcuali struick wkwk main bagus timnas kemarin cok,Positif,0.06784352,0.18357898,0.7485775
"@HusniSeeban Klo bener begini cara mainnya, bisa botak kepalaku ngelayani mereka.   Dugaan begini dah diketahui TIMNAS Amin gak ya?",main botak kepala ngelayani duga deh timnas amin,Negatif,0.21233451,0.4954941,0.29217136
"Doni kalo mainnya makin drop posisinya di timnas bisa terancam, siap2 digeser Luvi",doni main drop posisi timnas ancam geser luvi,Negatif,0.033112377,0.8933363,0.07355133
"@SiaranBolaLive Sepanjang gelaran turnamen piala asia, tiap timnas lakuin pergantian pemain, dimana udah pasti pemain yang masuk dari bench itu pemain dari liga 1 udah pasti permainan timnas menurun. Makanya timnas kita mainnya selalu oke dibabak pertama.",gelar turnamen piala asia timnas laku ganti main main masuk bench main liga main timnas turun timnas main oke babak,Negatif,0.067580946,0.7689878,0.16343129
"@senum_girls19 @sachet_kemasan Silva di timnas kuba mainnya MB, pelatih kalau mau radikal bisa aja pasang MB, OPnya Moon JiYoon",girls kemas silva timnas kuba main mbak latih radikal pasang mbak opnya moon jiyoon,Positif,0.29195148,0.3062929,0.40175563
@1708Lisna apakah mainnya brutal seperti timnas vietnam?,main brutal timnas vietnam,Netral,0.40914443,0.24031094,0.3505447
@MafiaWasit Udah dibilang timnas mainnya di Batakan ae,timnas main bata,Positif,0.25657508,0.33860642,0.4048185
"@_adrieedu mau tambah contoh kasus lg? ada arhan tuh. gausa dijelasin lg kondisi dia di verdy gmn, tp pas masuk piala asia, okey tuh mainnya. okey di atas lu bilang jairo bukan pemain muda. tp umur dia masi mateng buat jd pemain reguler, apalagi main di timnas yg peringkatnya bukan 100 fifa",adrieedu contoh arhan enggak usah dijelasin kondisi verdy pas masuk piala asia okey main okey lu jairo main muda umur mateng main reguler main timnas peringkat fifa,Negatif,0.10264259,0.62385064,0.27350667
@rintisell ehh iyaaa kak si ran itu aku liat emg banyak fansnya yaa. mutualku yg ngehype voli kayak mostly suka jg sama si ran itu. ran mainnya cuma di timnas japan aja atau ada di klub gitu kak?? dan nontonnya tuh kalo voli dimana sih kak streamingnya? 😭,eh iya kak ran lihat fansnya mutualku ngehype voli kayak mostly suka ran ran main timnas japan klub kak nontonnya voli kak streamingnya,Positif,0.22327216,0.32455233,0.4521755
"@eamsyachreza @MafiaWasit Hah? Lucu....   Lah terus kenapa Timnas Inggris waktu kualifikasi Euro ngalah sama Musisi? Malah Timnas Inggris mainnya di OT.  Stadion yang dipake Barcelona sekarang, sebelum musimnya mulai aja masih sempet tuh dipake konser Coldplay berhari2.",hah lucu timnas inggris kualifikasi euro kalah musisi timnas inggris main ot stadion pakai barcelona musim pakai konser coldplay,Negatif,0.1824197,0.6655916,0.15198873
