full_text,processed,predicted_label,predicted_probability_netral,predicted_probability_negatif,predicted_probability_positif
"@safergieway @PSSI True bang. bener² ga ngerti sih cara mainnya pssi, pelatih kelas dunia mah bisa kapan ajaa. kalo kompetisi ga jalan yaa percuma wkwk timnas cowok aja yg punya kompetisi setengah mati pengen prestasi",true bang erti main pssi latih kelas dunia mah kompetisi jalan wkwk timnas cowok kompetisi mati pengin prestasi,Negatif,0.021736855,0.9211045,0.057158653
"@HusniSeeban Klo bener begini cara mainnya, bisa botak kepalaku ngelayani mereka.   Dugaan begini dah diketahui TIMNAS Amin gak ya?",main botak kepala ngelayani duga deh timnas amin,Negatif,0.21233451,0.4954941,0.29217136
"Doni kalo mainnya makin drop posisinya di timnas bisa terancam, siap2 digeser Luvi",doni main drop posisi timnas ancam geser luvi,Negatif,0.033112377,0.8933363,0.07355133
"@SiaranBolaLive Sepanjang gelaran turnamen piala asia, tiap timnas lakuin pergantian pemain, dimana udah pasti pemain yang masuk dari bench itu pemain dari liga 1 udah pasti permainan timnas menurun. Makanya timnas kita mainnya selalu oke dibabak pertama.",gelar turnamen piala asia timnas laku ganti main main masuk bench main liga main timnas turun timnas main oke babak,Negatif,0.067580946,0.7689878,0.16343129
"@_adrieedu mau tambah contoh kasus lg? ada arhan tuh. gausa dijelasin lg kondisi dia di verdy gmn, tp pas masuk piala asia, okey tuh mainnya. okey di atas lu bilang jairo bukan pemain muda. tp umur dia masi mateng buat jd pemain reguler, apalagi main di timnas yg peringkatnya bukan 100 fifa",adrieedu contoh arhan enggak usah dijelasin kondisi verdy pas masuk piala asia okey main okey lu jairo main muda umur mateng main reguler main timnas peringkat fifa,Negatif,0.10264259,0.62385064,0.27350667
"@eamsyachreza @MafiaWasit Hah? Lucu....   Lah terus kenapa Timnas Inggris waktu kualifikasi Euro ngalah sama Musisi? Malah Timnas Inggris mainnya di OT.  Stadion yang dipake Barcelona sekarang, sebelum musimnya mulai aja masih sempet tuh dipake konser Coldplay berhari2.",hah lucu timnas inggris kualifikasi euro kalah musisi timnas inggris main ot stadion pakai barcelona musim pakai konser coldplay,Negatif,0.1824197,0.6655916,0.15198873
"@VNCSOOYA_10 @fakeforlive @barcastuff_idn Gw nonton semua match timnas jerman era nagelsmann juga gk jauh beda gaya mainnya ama flick, apalagi pas kalah ama austria dan turki, emang pemain2 jerman aja banyak yg ngedrop.",idn gue tonton match timnas jerman era nagelsmann beda gaya main flick pas kalah austria turki main jerman ngedrop,Negatif,0.1804435,0.5107022,0.30885428
"Dan yang gw salut, kali ini Pak Anies dan tim mainnya cukup bersih banget. Yang kotor2nya paling di level yang bawah banget diluar tim inti (timnas amin). Itupun paling ejek2an sosmed doang.  Bahkan kali ini Anies cukup menjaga jarak ama ulama2 provokatif yang lalu2. Salut",gue salut kali anies tim main bersih banget kotor level banget tim inti timnas amin ejek sosmed doang kali anies jaga jarak ulama provokatif salut,Negatif,0.023152696,0.87867516,0.0981722
@agamzet @agramadhaan @ccosrr @UpdateBolabola @love_gbk kalo gitu mending konser + timnas mainnya di gbk dua-duanya?,gbk mending konser timnas main gbk duaduanya,Negatif,0.21425949,0.49339205,0.2923484
Pantes aja ntn timnas kor mainnya jelek bgt kmrn lawan yordan..trnyata krna emg ad masalah internal,tonton timnas kor main jelek banget kemarin lawan yordantrnyata internal,Negatif,0.0058653136,0.94752365,0.046611022
