full_text,processed,predicted_label,predicted_probability_netral,predicted_probability_negatif,predicted_probability_positif
@garagarabola_ Lebih penting timnas bagus mainnya daripada segala Jersey aja dikerenin🤭,timnas bagus main jersey renin,Positif,0.008566684,0.07091568,0.9205176
"@utdfocusid @bliblidotcom Semuanya out kecuali hojlund, diganti sm pemain2 timnas kcuali Struick wkwk mainnya masih bagusan timnas kmrn cok",out kecuali hojlund ganti main timnas kcuali struick wkwk main bagus timnas kemarin cok,Positif,0.06784352,0.18357898,0.7485775
"@senum_girls19 @sachet_kemasan Silva di timnas kuba mainnya MB, pelatih kalau mau radikal bisa aja pasang MB, OPnya Moon JiYoon",girls kemas silva timnas kuba main mbak latih radikal pasang mbak opnya moon jiyoon,Positif,0.29195148,0.3062929,0.40175563
@MafiaWasit Udah dibilang timnas mainnya di Batakan ae,timnas main bata,Positif,0.25657508,0.33860642,0.4048185
@rintisell ehh iyaaa kak si ran itu aku liat emg banyak fansnya yaa. mutualku yg ngehype voli kayak mostly suka jg sama si ran itu. ran mainnya cuma di timnas japan aja atau ada di klub gitu kak?? dan nontonnya tuh kalo voli dimana sih kak streamingnya? 😭,eh iya kak ran lihat fansnya mutualku ngehype voli kayak mostly suka ran ran main timnas japan klub kak nontonnya voli kak streamingnya,Positif,0.22327216,0.32455233,0.4521755
"misal mereka bener main di indo, mainnya di JIS apa GBK ya? soalnya kalau Maret kan bentrok Ama timnas Indonesia",main indonesia main jis gbk maret bentrok timnas indonesia,Positif,0.30128536,0.25936872,0.43934596
@Miduk17 @Ariantobudi5 Saya bangga saat Timnas kalah 3-1 dari Jepang sebab MAINNYA CANTIK.,bangga timnas kalah jepang main cantik,Positif,0.243402,0.2536232,0.50297487
@addlagii @Catatan_ali7 Bukan gitu.. 5tahunn lalu mainnya jg gini.. prabowo unggul. Kecurangn byk sama bgt lah kayak sekarang..2 kali ke MK 2 kali kalah.. makanya untuk ke3 dan kali ini anies jd pd pesimis.. kirain ada plot twist.. timnas amin nyiapin sesuatu.. mungkin pengawal dr luar,ali tahunn main prabowo unggul kecurangn banget kayak kali kali kalah kali anies pesimis ira plot twist timnas amin nyiapin,Positif,0.13053903,0.22546566,0.6439953
"@server_timnas @UpdateBolabola Nah..klo bek jangkung harus gini mainnya... Gk bole adu sprint... Tekel, body charge, duel  hrus kuat",timnas nahklo bek jangkung main adu sprint tekel body charge duel kuat,Positif,0.35189083,0.27778533,0.37032384
"@Jerseyforum Pingin jersey timnas buatan Erspo bisa bikin timnas menangan dan mainnya keren. Karena jersey biasa aja sekalipun, kalo timnya menangan pasti banyak yang beli..   Sama 3 layer harga. Udah cukup itu aja 🎯",pengin jersey timnas erspo timnas menang main keren jersey tim menang beli layer harga,Positif,0.22284357,0.31692976,0.46022674
@UpdateBolabola Kalo udah main di timnas khawatir dikatain pemain males. Do'i mainnya ga banyak lari. Simple tapi vital. Eksekusi bola matinya yahud.,main timnas khawatir katai main malas doi main lari simple vital eksekusi bola mati yahud,Positif,0.2608336,0.2985613,0.44060507
timnas hoki bgt bisa dapet thom haye jago bener mainnya 😭,timnas hoki banget thom haye jago main,Positif,0.015467152,0.23403569,0.7504971
"@idextratime @bliblidotcom Ngeri bgt gaya mainnya haye , mimpi apa timnas punya diaspora kek gini 😭",ngeri banget gaya main haye mimpi timnas diaspora kayak,Positif,0.026726462,0.39809495,0.5751787
"Siapa yg kemarin nonton Timnas Indo lolos 16 besar Piala Asia di era Presiden Jokowi? Gimana, bangga kan? Hanya di era Jokowi l, jaya jaya jaya  Gitu kah mainnya? 🤣",kemarin tonton timnas indonesia lolos piala asia era presiden jokowi bangga era jokowi jaya jaya jaya kah main,Positif,0.30859044,0.25745258,0.433957
@derwustenfuchss @indosupporter Kalau benar spt itu artinya dia kurang jauh mainnya. Dulu Guss Hiddink jg pernah ngelatih Chelsea saat masih jd pelatih timnas Russia.,arti main guss hiddink ngelatih chelsea latih timnas russia,Positif,0.34787536,0.27410874,0.37801588
"@Indostransfer Ni pelatih emg GG sih. Gak salah Borneo rekrut dan perpanjang ni pelatih 😁  Secara pola mainnya, bagus dan no doubt sih. Klo buat pelatih Timnas, cocok sih. Apalagi usia muda",latih salah borneo rekrut latih pola main bagus no doubt latih timnas cocok usia muda,Positif,0.020497773,0.11697324,0.8625289
"Nontonin timnas volly Indonesia, mainnya bisa keren gitu ya",nontonin timnas volly indonesia main keren,Positif,0.2660858,0.2834264,0.4504878
@meta_parad44820 @idextratime Liat nanti wkwk. Diaspora era etho blm ada yg main dan liga nya msh kacau. Prestasi yg km banggakan itu cm timnas yg dilatih STY. yg bahkan cara mainnya udh berkembang dan bagus di AFF 2021 Singapore. Liga ga bikin etho kesorot cm timnas. Dan klo ngikutin timnas mah itu kerja STY,parad lihat wkwk diaspora era etho main liga kacau prestasi bangga timnas latih sty main kembang bagus aff singapore liga etho sorot timnas timnas mah kerja sty,Positif,0.07456945,0.35853234,0.56689817
@FabHakim @Indostransfer main di klub pun banyak kebobolan nya faktor bek dan mainnya aga kurang setelah balik dari timnas butuh istirahat   wkwk,main klub bobol faktor bek main aga timnas butuh istirahat wkwk,Positif,0.27223176,0.22713727,0.500631
"@singeuri14 Tpi semoga mainnya serius buat test tim masing-masing, tpi gk tau kenapa udh pesimis duluan soalnya ini tim merah lucu tpi timnas indo jga gk kalah lucu sih *eh🤐",moga main serius test tim masingmasing pesimis duluan tim merah lucu timnas indonesia kalah lucu eh,Positif,0.32991573,0.25826353,0.4118207
"Titip peetanyaan utk pundit itu, min. Tolong tanyain, kenapa Vietnam kalau bertemu Indonesia mainnya jadi agresif, tengil bahkan cendrung kasar? Juga sering memancing-mancing emosi pemain² timnas Indonesia. Padahal bertemu tim lain, Vietnam bermain 'normal'.",titip peetanyaan pundit min tolong vietnam temu indonesia main agresif tengil cendrung kasar memancingmancing emosi main timnas indonesia temu tim vietnam main normal,Positif,0.30942756,0.3058533,0.3847192
"@aarifbudiart @barcastuff_idn Flick bagus dalam mengimprove fitness dan stamina pemain, sesuai dgn gaya mainnya yg kuat high press dan cepat.. Di Timnas susah diterapin karna fitness dan stamina pemain tergantung pelatihan apa yg pemain dapatkan di klub asal masing² pemain",idn flick bagus mengimprove fitness stamina main sesuai gaya main kuat high press cepat timnas susah diterapin fitness stamina main gantung latih main klub main,Positif,0.13307801,0.2271356,0.63978636
"@SeputarMadrid Pemain muda tpi bkn pemain muda macam Nico Paz, Iker Bravo dan pemain muda biasanya. Tapi pemain muda macam vini, rodrygo, bellingham, camavinga pemain muda yg mainnya dewasa. Ga lama lgi bakal main di timnas prancis senior nih bocil",main muda main muda nico paz iker bravo main muda main muda vini rodrygo bellingham camavinga main muda main dewasa main timnas prancis senior bocil,Positif,0.036945023,0.14173532,0.82131964
"@kegblgnunfaedh Serius nanya, kalo mainnya bagus gini ada kemungkinan buat masuk timnas sana gak?",serius main bagus masuk timnas,Positif,0.07325766,0.39938343,0.52735895
@Bali_Football habis nonton Piala Asia terus nonton Liga 1 rasanya jeblok bener. Ga yakin bakal bisa melahirkan pemain yg mainnya kayak timnas di Piala Asia kemaren~,football habis tonton piala asia tonton liga jeblok lahir main main kayak timnas piala asia kemarin,Positif,0.2312921,0.29358584,0.475122
"@yourmaolanaa @noershall @Iniozan9 @idextratime wkwkwk ngeliat ettorito kek mainnya timnas italia jaman 2000an  gol 1, langsung bertahan, ulur waktu😂🤣",wkwkwk lihat ettorito kayak main timnas italia jaman an gol langsung tahan ulur,Positif,0.3327046,0.29640472,0.37089068
@PKSejahtera Mudah2an timnas dah petain potensi kecurangan di 19 provinsi. Utk capai 50%+1 mungkin mainnya di situ. Bisa jadi penggelembungan or pengurangan suara.,mudah timnas deh petain potensi curang provinsi capai main situ gelembung orang suara,Positif,0.15779306,0.3387865,0.5034205
Chelsea musim ini tanding sama timnas aja keknya bagusan mainnya timnas.,chelsea musim tanding timnas kayak bagus main timnas,Positif,0.12709159,0.22608662,0.6468218
Ga boong ini dejavu kcc taun lalu sama fp yang timnas jordan terus dia di fiba ac mainnya BAGUS BANGET KYK 🤡🤡🤡,bohong dejavu kcc fp timnas jordan fiba ac main bagus banget kayak,Positif,0.072132275,0.3697497,0.55811805
"@aunrrahman bener sih, bahkan timnas aja yg peringkat bawah mainnya enak, sistematis banget. terus nonton liga 1 jadi agak gimana gitu",timnas peringkat main enak sistematis banget tonton liga,Positif,0.0098005375,0.1101769,0.88002264
"Lee Soyoung tuh bener bener ya krusial banget buat defensenya jkj. Udah keren, cool, pembawaannya kalem, mainnya bagus semua aspek. Bener bener kesayangan sejuta umat 🙏 Please kmu jgn cidera lagi, mau liat kmu pake baju timnas olimpiade nanti 🫂",lee soyoung krusial banget defensenya jkj keren cool bawa kalem main bagus aspek sayang juta umat please cidera lihat pakai baju timnas olimpiade,Positif,0.012770369,0.11123246,0.8759971
Nonton AFC eASIAN Cup seru banget!! Timnas mainnya jago banget anjg🤩,tonton afc easian cup seru banget timnas main jago banget anjg,Positif,0.0020513963,0.11113868,0.8868099
"Gue nonton @Lakers main, udah kayak @unmagnetism nonton timnas main. Kalo pas ditinggal, mainnya bagus, pas lagi ditonton, jelek banget",gue tonton main kayak tonton timnas main pas tinggal main bagus pas tonton jelek banget,Positif,0.024475452,0.30687693,0.6686476
timnas timnas apa yg mainnya dari malem sampe pagi?? timnas korea lah bjir 🤩👊🏻,timnas timnas main malam pagi timnas korea bjir,Positif,0.19875439,0.3386826,0.462563
"@idextratime @bliblidotcom Beneran pertahanan kuat + direct football bngt Australia mainnya, dpt bola langsung ke depan ga banyang oper2an dibelakang. Pantes timnas kita kemarin bisa ngimbangin penguasaan tapi kebobolan 4, korea aja sampe ga bisa shooting",tahan kuat direct football banget australia main bola langsung banyang oper timnas kemarin ngimbangin kuasa bobol korea shooting,Positif,0.01857835,0.15930028,0.82212144
"Seumur-umur nonton TIMNAS, baru di piala ASIA ini terkesan sama pola mainnya. Coba deh flashback ke longball firman utina dl wkkwkwkw bahkan dari kiper aja lgsg longball2 terus 🙃",seumurumur tonton timnas piala asia kes pola main coba deh flashback longball firman utina wkkwkwkw kiper langsung longball,Positif,0.0070886067,0.110927835,0.88198364
"Ini timnas kita kapalnya baru jalan, dari dermaga pertama (tujuan jangka pendek)"", mau emang tenggelem lagi karena ganti pelatih di tengah jalan, maksudnya kalo emang performanya udah maksimal banget tapi ga ada prestasi baru ganti, timnas udah enak mainnya emang bukan prestasi?""",timnas kapal jalan dermaga tuju jangka pendek tenggelem ganti latih jalan maksud performa maksimal banget prestasi ganti timnas enak main prestasi,Positif,0.0059431,0.06838291,0.925674
"@_mizuhashi @kornelius_ch @SiaranBolaLive Nah itu brrti abang pahamkan knp su twit “Mainnya bagus sih, tp tetep aja kalah.”? Artinya tnp bhas isu internal, kl mau naikin level buat sejajar dng tim elit asia, timnas hrs terbiasa mnng dl, shg rutin ikt event gede. Krn sprti yg abang blg “blm tentu menang walau main bagus”",mizuhashi ch arti abang paham su twit main bagus kalah arti bahas isu internal naikin level sejajar tim elit asia timnas mnng shg rutin ikt event gede abang menang main bagus,Positif,0.06603886,0.205757,0.72820413
"@ArifNasfi05 @feryokta19 @makanbolaID Ane yakin suatu saat IS ttp bakal kena cancel suporter timnas,karena liat mainnya sty ciamik begitu liat timnas u20 mending nonton netflix..🤣🤣",ane is kena cancel suporter timnaskarena lihat main sty ciamik lihat timnas mending tonton netflix,Positif,0.34087068,0.3050902,0.3540391
"@liliwasta @bapakpecundang @TMidn_news @TimnasIndonesia Ad milion manhoef cocok am main timnas yg mainnya counter attack tapi nih orng bilang Mo Nyoba tembus Belanda senior kalo ngk dpt bakal beralih ke indo, case nya mirip hilgres umur 26 klo gk tembus Belanda bakal mikir indo",news milion manhoef cocok main timnas main counter attack orang coba tembus belanda senior alih indonesia case hilgres umur tembus belanda mikir indonesia,Positif,0.1389051,0.42478237,0.43631256
"@rentfess Sender, terlambat gak? Aku tau beliau. Shayne Pattynama, sosok wingback kiri timnas yang mainnya garang, suka dibilang premannya timnas barengan sama Hubner. Yang pada akhirnya melewati proses naturalisasi demi nepatin janjinya kepada Alm. ayahnya buat bermain untuk Indonesia.  —",sender lambat beliau shayne pattynama sosok wingback kiri timnas main garang suka preman timnas bareng hubner proses naturalisasi nepatin janji almarhum ayah main indonesia,Positif,0.12320398,0.33959797,0.537198
