full_text,topic,processed,predicted_label,predicted_probability
@nanawourld yg iniii pls bagus bgt! klo ga salah ada moistnya jg pengen beli tp moist cosrx aku belum abis setengah https://t.co/TvX4JAjGkc,4,pls bagus banget tidak_salah moistnya pengin beli moist cosrx belum_habis,Positif,[0.91780555]
@ohmybeautybank kalo tekstur sih iyaa bisa tp aku ga yang gradakan bgt pake moist cosrx snail udh mulai baikann,4,tekstur iya tidak_gradakan banget pakai memoist cosrx snail baikan,Positif,[0.8764344]
Kayanya moist cosrx kemarin terlalu heavy deh buat under eye sjsjsjsj,2,kaya memoist cosrx kemarin heavy deh under eye sjsjsjsj,Negatif,[0.8962675]
@tanyarlfes moist cosrx 200k. alias lumayan bgt untuk sebuah moist (walaupun worth it si),0,memoist cosrx alias lumayan banget buah memoist worth,Positif,[0.8710096]
@beauthingy St aku normal to oily pake moist cosrx pedes di mata trus lama nyerep gtu gtau ga ccok di aku,3,st normal oily pakai memoist cosrx pedas mata serap enggak tau tidak_cok,Negatif,[0.7005452]
Guyss wta dongg .. moist cosrx yg oil free emg baunya kaya wipol ya ? Apa yaa ky bau tumbuhan? bingung gmn deskripsiinya ceritanya hbs beli prelovedan dan blm pernah pake produk ini sblmnya,4,guys wta memoist cosrx oil fre bau kayak wipol iya apa-apa iya kaya bau tumbuh bingung deskripsi cerita habis beli prelovedan belum_pakai produk belum,Negatif,[0.67908204]
@unnesmenfess moist cosrx snail mucin bkin glowing bgtt,4,memoist cosrx snail mucin glowing banget,Positif,[0.9522604]
@ohmybeautybank aku dulu gini pas pake true to skin dan cream msglow abis tu aku ganti cuma pake moist cosrx + ss skinaqua cushionnya somethinc copypaste jadi nyatu ke kulit dan bagus bgt. tipkul dry to normal,2,pas pakai true skin cream msglow habis ganti pakai memoist cosrx skinaqua cushionya somethinc copypaste kulit bagus banget tipkul dry normal,Positif,[0.9844033]
@ohmybeautybank aku dry skin pake moist cosrx snail mucin,4,dry sk pakai memoist cosrx snail memuc,Positif,[0.9346568]
@ohmybeautybank Aku dry skin yg klo lama ga make moist bisa ngelupas gt kulitnya. Aku make moist cosrx udh setahun lbh kayanya skrg mau ganti ke hadalabo,4,dry sk tidak_pakai memoist ngelupas kulit pakai memoist cosrx kaya ganti hadalabo,Positif,[0.63841057]
