full_text,topic,processed,predicted_label_CNN,predicted_probability_CNN,predicted_label_CNN_LSTM,predicted_probability_CNN_LSTM,Prediksi Responden
@ohmybeautybank kalo tekstur sih iyaa bisa tp aku ga yang gradakan bgt pake moist cosrx snail udh mulai baikann,4,tekstur iya tidak_gradakan banget pakai memoist cosrx snail baikan,Negatif,[0.6254287],Positif,[0.7362556],Positif
skincare koreanya ternyata emg sebagus itu ya baru make moist cosrx 2 minggu udh kerasa kulit muka lebih sehat,2,skincare koreanya nyata bagus iya pakai memoist cosrx mingu kulit muka-muka sehat,Negatif,[0.5039988],Positif,[0.6870073],Positif
@ohmybeautybank moist wardah which hazel ya Allah bayangin aku udah beli moist cosrx oil free harga 200k ga cocok balik2 ke wardah si kuning yg ga sampe 30k itu tolong dong buat kemasan yg gedean dikit,4,memoist wardah which hazel iya alah bayang beli memoist cosrx oil fre harga tidak_cocok wardah kuning tidak_tolong kemas gede dikit,Positif,[0.72756827],Negatif,[0.5980145],Negatif
@ohmybeautybank aku pake moist cosrx yang oil-free. setelah banyak nyoba nyoba moist cuma itu doang yang ga bikin kulit makin berminyak. anw aku pake moist kalo malem ajaa soalnya kalo pagi kan pake ss nah di ss itu udah ada kandungan buat moist kulit.,1,pakai memoist cosrx oilfre coba coba memoist doang tidak_kulit minyak anw pakai memoist malam pagi pakai kandung memoist kulit,Negatif,[0.64581907],Positif,[0.73485285],Positif
Iri sama orang yg cocok sama ampoule skin1004 sama moist cosrx soalnya menurut gue murah dapet skincare gentong itu,2,iri orang-orang cocok ampoule sk memoist cosrx gue murah skincare gentong,Positif,[0.7885799],Negatif,[0.5789827],Positif
kayaknya enakeun ini.. teksturnya agak mirip moist cosrx yg birch sap,4,kayak enakeun tekstur memoist cosrx birch sap,Negatif,[0.6978793],Positif,[0.5866151],Positif
UNGUUU FAK CAKEP BANGET TAPI MOIST COSRX GW ABIS,2,ungu fak cakep banget memoist cosrx gue habis,Positif,[0.6147178],Negatif,[0.6760603],Positif
@diarydiary20 Fw hadalabo gokyujun moist cosrx ss skinaqua tutup ijo kak. Aku st oily btw Kayanya klo kusam kurang cocok sama ss nya dehh kak,4,fw hadalabo gokyujun memoist cosrx skinaqua tutup ijo kak st oily btw kaya kusam cocok deh kak,Positif,[0.61617184],Negatif,[0.6285278],Negatif
WWWWUGHHH ABIS MASKERAN MUGWORT DITIMPA MOIST COSRX ADALAH HMNBHGHHH ENAK BGT ANJING,2,wugh habis masker mugwort timpa memoist cosrx hmnbhgh enak banget anjing,Negatif,[0.69095904],Positif,[0.6439051],Positif
@ohmybeautybank Moist cosrx di muka badak saya hasilnya b aja asli.,3,memoist cosrx memuka-muka badak hasil asli,Negatif,[0.68220913],Positif,[0.77513057],Positif
@dokyeomentary_ aku pake moist cosrx sm ss skinaqua tutup putih. mantullll,4,pakai memoist cosrx skinaqua tutup putih pantul,Negatif,[0.5066196],Positif,[0.74834615],Positif
