conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,probability,quote_count,reply_count,retweet_count,topic,tweet_url,user_id_str,username,context
1.8e+18,Tue May 28 21:59:28 +0000 2024,0,@nanawourld yg iniii pls bagus bgt! klo ga salah ada moistnya jg pengen beli tp moist cosrx aku belum abis setengah https://t.co/TvX4JAjGkc,1.26318249164412e+18,https://pbs.twimg.com/media/GOsqhc4bcAYL2hv.jpg,nanawourld,in,  ֪   ֪   ֪ ,0.5242981,0,1,0,4,https://x.com/qfloryn/status/1795575645927534898,2315959003.0,qfloryn,"1. Moist Cosrx adalah salah satu produk perawatan kulit yang sedang populer di kalangan masyarakat. Banyak yang mengaku bahwa cream ini mampu membuat kulit terasa lebih lembap dan kenyal.<br/>2. Namun, ada juga yang merasa bahwa Moist Cosrx tidak cocok dengan jenis kulit mereka. Beberapa orang mengalami iritasi dan jerawat setelah menggunakan produk ini.<br/>3. Meskipun begitu, banyak juga yang tetap setia menggunakan Moist Cosrx karena hasilnya yang memuaskan. Mereka merasa bahwa cream ini mampu memberikan kelembapan yang tahan lama pada kulit.<br/>4. Selain itu, beberapa pengguna juga mengatakan bahwa Moist Cosrx dapat membantu mengatasi masalah kulit seperti kusam dan kering.<br/>5. Kesimpulannya, Moist Cosrx memang memiliki kelebihan dan kekurangan dalam perawatan kulit. Namun, sebelum mencobanya, sebaiknya lakukan tes pada kulit terlebih dahulu untuk menghindari efek samping yang tidak diinginkan."
1.8e+18,Mon May 27 23:40:08 +0000 2024,0,@ohmybeautybank kalo tekstur sih iyaa bisa tp aku ga yang gradakan bgt pake moist cosrx snail udh mulai baikann,8.69774001303627e+18,,ohmybeautybank,in,,0.95456576,0,0,0,4,https://x.com/dayooee/status/1795238588822728895,8.52e+17,dayooee,"1. Moist Cosrx adalah salah satu produk perawatan kulit yang sedang populer di kalangan masyarakat. Banyak yang mengaku bahwa cream ini mampu membuat kulit terasa lebih lembap dan kenyal.<br/>2. Namun, ada juga yang merasa bahwa Moist Cosrx tidak cocok dengan jenis kulit mereka. Beberapa orang mengalami iritasi dan jerawat setelah menggunakan produk ini.<br/>3. Meskipun begitu, banyak juga yang tetap setia menggunakan Moist Cosrx karena hasilnya yang memuaskan. Mereka merasa bahwa cream ini mampu memberikan kelembapan yang tahan lama pada kulit.<br/>4. Selain itu, beberapa pengguna juga mengatakan bahwa Moist Cosrx dapat membantu mengatasi masalah kulit seperti kusam dan kering.<br/>5. Kesimpulannya, Moist Cosrx memang memiliki kelebihan dan kekurangan dalam perawatan kulit. Namun, sebelum mencobanya, sebaiknya lakukan tes pada kulit terlebih dahulu untuk menghindari efek samping yang tidak diinginkan."
1.79e+18,Mon May 27 00:48:44 +0000 2024,0,Kayanya moist cosrx kemarin terlalu heavy deh buat under eye sjsjsjsj,1.77867586432965e+18,,chrispypaw,in,stayville,0.9260342,0,0,0,2,https://x.com/chrispypaw/status/1794893465110876491,1.19e+18,chrispypaw,"1. Moist Cosrx adalah salah satu produk perawatan kulit yang sedang populer di kalangan masyarakat. Banyak yang mengaku bahwa cream ini mampu membuat kulit terasa lebih lembap dan kenyal.<br/>2. Namun, ada juga yang merasa bahwa Moist Cosrx tidak cocok dengan jenis kulit mereka. Beberapa orang mengalami iritasi dan jerawat setelah menggunakan produk ini.<br/>3. Meskipun begitu, banyak juga yang tetap setia menggunakan Moist Cosrx karena hasilnya yang memuaskan. Mereka merasa bahwa cream ini mampu memberikan kelembapan yang tahan lama pada kulit.<br/>4. Selain itu, beberapa pengguna juga mengatakan bahwa Moist Cosrx dapat membantu mengatasi masalah kulit seperti kusam dan kering.<br/>5. Kesimpulannya, Moist Cosrx memang memiliki kelebihan dan kekurangan dalam perawatan kulit. Namun, sebelum mencobanya, sebaiknya lakukan tes pada kulit terlebih dahulu untuk menghindari efek samping yang tidak diinginkan."
1.79e+18,Sun May 26 11:46:58 +0000 2024,0,@tanyarlfes moist cosrx 200k. alias lumayan bgt untuk sebuah moist (walaupun worth it si),9.72525207221594e+18,,tanyarlfes,in,notknown,0.9367903,0,0,0,0,https://x.com/jalapinokio/status/1794696727351697765,1.22e+18,jalapinokio,"1. Moist Cosrx adalah salah satu produk perawatan kulit yang sedang populer di kalangan masyarakat. Banyak yang mengaku bahwa cream ini mampu membuat kulit terasa lebih lembap dan kenyal.<br/>2. Namun, ada juga yang merasa bahwa Moist Cosrx tidak cocok dengan jenis kulit mereka. Beberapa orang mengalami iritasi dan jerawat setelah menggunakan produk ini.<br/>3. Meskipun begitu, banyak juga yang tetap setia menggunakan Moist Cosrx karena hasilnya yang memuaskan. Mereka merasa bahwa cream ini mampu memberikan kelembapan yang tahan lama pada kulit.<br/>4. Selain itu, beberapa pengguna juga mengatakan bahwa Moist Cosrx dapat membantu mengatasi masalah kulit seperti kusam dan kering.<br/>5. Kesimpulannya, Moist Cosrx memang memiliki kelebihan dan kekurangan dalam perawatan kulit. Namun, sebelum mencobanya, sebaiknya lakukan tes pada kulit terlebih dahulu untuk menghindari efek samping yang tidak diinginkan."
1.79e+18,Sat May 25 06:08:13 +0000 2024,1,@beauthingy St aku normal to oily pake moist cosrx pedes di mata trus lama nyerep gtu gtau ga ccok di aku,6.61307358202759e+18,,beauthingy,in,mars,0.96151936,0,0,0,3,https://x.com/urstrawbewwy/status/1794249091867922685,1.45e+18,urstrawbewwy,"1. Moist Cosrx adalah salah satu produk perawatan kulit yang sedang populer di kalangan masyarakat. Banyak yang mengaku bahwa cream ini mampu membuat kulit terasa lebih lembap dan kenyal.<br/>2. Namun, ada juga yang merasa bahwa Moist Cosrx tidak cocok dengan jenis kulit mereka. Beberapa orang mengalami iritasi dan jerawat setelah menggunakan produk ini.<br/>3. Meskipun begitu, banyak juga yang tetap setia menggunakan Moist Cosrx karena hasilnya yang memuaskan. Mereka merasa bahwa cream ini mampu memberikan kelembapan yang tahan lama pada kulit.<br/>4. Selain itu, beberapa pengguna juga mengatakan bahwa Moist Cosrx dapat membantu mengatasi masalah kulit seperti kusam dan kering.<br/>5. Kesimpulannya, Moist Cosrx memang memiliki kelebihan dan kekurangan dalam perawatan kulit. Namun, sebelum mencobanya, sebaiknya lakukan tes pada kulit terlebih dahulu untuk menghindari efek samping yang tidak diinginkan."
1.79e+18,Fri May 24 13:10:45 +0000 2024,0,Guyss wta dongg .. moist cosrx yg oil free emg baunya kaya wipol ya ? Apa yaa ky bau tumbuhan? bingung gmn deskripsiinya ceritanya hbs beli prelovedan dan blm pernah pake produk ini sblmnya,2.36519659068836e+18,,,in,Indonesia ,0.97548884,0,0,0,4,https://x.com/iceugaa/status/1793993035455561934,1390825069.0,iceugaa,"1. Moist Cosrx adalah salah satu produk perawatan kulit yang sedang populer di kalangan masyarakat. Banyak yang mengaku bahwa cream ini mampu membuat kulit terasa lebih lembap dan kenyal.<br/>2. Namun, ada juga yang merasa bahwa Moist Cosrx tidak cocok dengan jenis kulit mereka. Beberapa orang mengalami iritasi dan jerawat setelah menggunakan produk ini.<br/>3. Meskipun begitu, banyak juga yang tetap setia menggunakan Moist Cosrx karena hasilnya yang memuaskan. Mereka merasa bahwa cream ini mampu memberikan kelembapan yang tahan lama pada kulit.<br/>4. Selain itu, beberapa pengguna juga mengatakan bahwa Moist Cosrx dapat membantu mengatasi masalah kulit seperti kusam dan kering.<br/>5. Kesimpulannya, Moist Cosrx memang memiliki kelebihan dan kekurangan dalam perawatan kulit. Namun, sebelum mencobanya, sebaiknya lakukan tes pada kulit terlebih dahulu untuk menghindari efek samping yang tidak diinginkan."
1.79e+18,Fri May 24 11:33:22 +0000 2024,0,@unnesmenfess moist cosrx snail mucin bkin glowing bgtt,2.05657172453131e+18,,unnesmenfess,in,,0.89886016,0,0,0,4,https://x.com/woo_everyone/status/1793968531467600227,1.29e+18,woo_everyone,"1. Moist Cosrx adalah salah satu produk perawatan kulit yang sedang populer di kalangan masyarakat. Banyak yang mengaku bahwa cream ini mampu membuat kulit terasa lebih lembap dan kenyal.<br/>2. Namun, ada juga yang merasa bahwa Moist Cosrx tidak cocok dengan jenis kulit mereka. Beberapa orang mengalami iritasi dan jerawat setelah menggunakan produk ini.<br/>3. Meskipun begitu, banyak juga yang tetap setia menggunakan Moist Cosrx karena hasilnya yang memuaskan. Mereka merasa bahwa cream ini mampu memberikan kelembapan yang tahan lama pada kulit.<br/>4. Selain itu, beberapa pengguna juga mengatakan bahwa Moist Cosrx dapat membantu mengatasi masalah kulit seperti kusam dan kering.<br/>5. Kesimpulannya, Moist Cosrx memang memiliki kelebihan dan kekurangan dalam perawatan kulit. Namun, sebelum mencobanya, sebaiknya lakukan tes pada kulit terlebih dahulu untuk menghindari efek samping yang tidak diinginkan."
1.79e+18,Wed May 22 05:48:01 +0000 2024,0,@ohmybeautybank aku dulu gini pas pake true to skin dan cream msglow abis tu aku ganti cuma pake moist cosrx + ss skinaqua cushionnya somethinc copypaste jadi nyatu ke kulit dan bagus bgt. tipkul dry to normal,7.5988138644418e+18,,ohmybeautybank,in,,0.7557099,0,0,0,2,https://x.com/lxsgna/status/1793156845345067109,1.41e+18,lxsgna,"1. Moist Cosrx adalah salah satu produk perawatan kulit yang sedang populer di kalangan masyarakat. Banyak yang mengaku bahwa cream ini mampu membuat kulit terasa lebih lembap dan kenyal.<br/>2. Namun, ada juga yang merasa bahwa Moist Cosrx tidak cocok dengan jenis kulit mereka. Beberapa orang mengalami iritasi dan jerawat setelah menggunakan produk ini.<br/>3. Meskipun begitu, banyak juga yang tetap setia menggunakan Moist Cosrx karena hasilnya yang memuaskan. Mereka merasa bahwa cream ini mampu memberikan kelembapan yang tahan lama pada kulit.<br/>4. Selain itu, beberapa pengguna juga mengatakan bahwa Moist Cosrx dapat membantu mengatasi masalah kulit seperti kusam dan kering.<br/>5. Kesimpulannya, Moist Cosrx memang memiliki kelebihan dan kekurangan dalam perawatan kulit. Namun, sebelum mencobanya, sebaiknya lakukan tes pada kulit terlebih dahulu untuk menghindari efek samping yang tidak diinginkan."
1.79e+18,Tue May 21 07:32:56 +0000 2024,0,@ohmybeautybank aku dry skin pake moist cosrx snail mucin,5.99745488686057e+18,,ohmybeautybank,in,,0.90922225,0,1,0,4,https://x.com/eveningroselips/status/1792820860723814796,1.62e+18,eveningroselips,"1. Moist Cosrx adalah salah satu produk perawatan kulit yang sedang populer di kalangan masyarakat. Banyak yang mengaku bahwa cream ini mampu membuat kulit terasa lebih lembap dan kenyal.<br/>2. Namun, ada juga yang merasa bahwa Moist Cosrx tidak cocok dengan jenis kulit mereka. Beberapa orang mengalami iritasi dan jerawat setelah menggunakan produk ini.<br/>3. Meskipun begitu, banyak juga yang tetap setia menggunakan Moist Cosrx karena hasilnya yang memuaskan. Mereka merasa bahwa cream ini mampu memberikan kelembapan yang tahan lama pada kulit.<br/>4. Selain itu, beberapa pengguna juga mengatakan bahwa Moist Cosrx dapat membantu mengatasi masalah kulit seperti kusam dan kering.<br/>5. Kesimpulannya, Moist Cosrx memang memiliki kelebihan dan kekurangan dalam perawatan kulit. Namun, sebelum mencobanya, sebaiknya lakukan tes pada kulit terlebih dahulu untuk menghindari efek samping yang tidak diinginkan."
1.79e+18,Tue May 21 07:16:04 +0000 2024,0,@ohmybeautybank Aku dry skin yg klo lama ga make moist bisa ngelupas gt kulitnya. Aku make moist cosrx udh setahun lbh kayanya skrg mau ganti ke hadalabo,8.7005005740987e+18,,ohmybeautybank,in,,0.96959835,0,0,0,4,https://x.com/_sojuw/status/1792816615043862724,1.51e+18,_sojuw,"1. Moist Cosrx adalah salah satu produk perawatan kulit yang sedang populer di kalangan masyarakat. Banyak yang mengaku bahwa cream ini mampu membuat kulit terasa lebih lembap dan kenyal.<br/>2. Namun, ada juga yang merasa bahwa Moist Cosrx tidak cocok dengan jenis kulit mereka. Beberapa orang mengalami iritasi dan jerawat setelah menggunakan produk ini.<br/>3. Meskipun begitu, banyak juga yang tetap setia menggunakan Moist Cosrx karena hasilnya yang memuaskan. Mereka merasa bahwa cream ini mampu memberikan kelembapan yang tahan lama pada kulit.<br/>4. Selain itu, beberapa pengguna juga mengatakan bahwa Moist Cosrx dapat membantu mengatasi masalah kulit seperti kusam dan kering.<br/>5. Kesimpulannya, Moist Cosrx memang memiliki kelebihan dan kekurangan dalam perawatan kulit. Namun, sebelum mencobanya, sebaiknya lakukan tes pada kulit terlebih dahulu untuk menghindari efek samping yang tidak diinginkan."
