,0
<OOV>,1
makan,2
milu,3
orang,4
enak,5
banget,6
israel,7
kulit,8
the,9
harga,10
iya,11
pakai,12
palestina,13
politik,14
indonesia,15
apa,16
iran,17
suka,18
tahun,19
anak,20
wajah,21
baik,22
anies,23
pilih,24
bagus,25
coba,26
and,27
sat,28
produk,29
kuna,30
lihat,31
ganjar,32
sete,33
beli,34
bandung,35
menu,36
of,37
timnas,38
pas,39
dukung,40
malam,41
sehat,42
mai,43
didi,44
jalan,45
kali,46
gue,47
is,48
benar,49
restoran,50
rakyat,51
cocok,52
salah,53
asa,54
jerawat,55
toner,56
bersih,57
lumayan,58
murah,59
hasil,60
masuk,61
besar,62
deh,63
hinga,64
kayak,65
suasana,66
keluarga,67
mahal,68
dolar,69
nyaman,70
pimpin,71
langsung,72
sar,73
negara,74
rupiah,75
milik,76
bawa,77
presiden,78
goreng,79
mudah,80
pelayan,81
jokow,82
on,83
nyata,84
pandang,85
kota,86
bali,87
menang,88
minyak,89
kuliah,90
ayam,91
segar,92
cepat,93
main,94
menteri,95
nasi,96
prabowo,97
jelas,98
rumah,99
moga,100
damai,101
minum,102
kata,103
aman,104
teman,105
bau,106
jangkau,107
tingi,108
nikmat,109
bilang,110
that,111
for,112
masyarakat,113
pesan,114
pikir,115
cari,116
air,117
with,118
lokasi,119
oke,120
kerja,121
lembab,122
kecil,123
kering,124
warna,125
cil,126
scrub,127
sayang,128
habis,129
you,130
warga,131
bantu,132
tahan,133
hamas,134
favorit,135
hilang,136
baswed,137
hadap,138
laku,139
narbenar,140
resto,141
as,142
they,143
kuat,144
lembut,145
beda,146
kurikulum,147
utama,148
keren,149
saji,150
jaga,151
partai,152
butuh,153
jam,154
tekstur,155
ren,156
are,157
not,158
serum,159
sedia,160
alah,161
buka,162
tingkat,163
tuju,164
mantap,165
kualitas,166
senang,167
rekomendasi,168
porsi,169
gaza,170
nama,171
khas,172
kasih,173
putus,174
lai,175
pagi,176
ketua,177
steak,178
efek,179
anjlok,180
us,181
temu,182
ribu,183
sunda,184
banding,185
bakar,186
dunia,187
muda,188
adil,189
suara,190
sesuai,191
war,192
ubah,193
hati,194
tarik,195
cerah,196
atack,197
siang,198
penuh,199
tungu,200
ramah,201
ayo,202
kafe,203
lulur,204
agama,205
jakarta,206
memengunaka,207
this,208
no,209
lu,210
al,211
terima,212
jelang,213
ramai,214
isi,215
sambal,216
mi,217
by,218
an,219
harap,220
bangun,221
cosrx,222
baca,223
capres,224
its,225
be,226
luas,227
rupa,228
ringan,229
maju,230
halus,231
muka,232
sok,233
kunjung,234
memoist,235
hat,236
bangsa,237
nilai,238
mati,239
susah,240
ikan,241
ajar,242
bakso,243
pasang,244
